"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"128021","12-08-26 02:30","South America","Copa Libertadores","2026","Estudiantes L.P.","U. Catolica","1.70","3.34","6.12","1.14","6.00","1.60","2.38","2.82","1.45","5.81","1.14","11.70","1.04","2.32","1.63"
"128020","12-08-26 00:00","South America","Copa Libertadores","2026","Fluminense","Ind. Rivadavia","1.66","3.43","6.36","1.13","6.38","1.54","2.53","2.66","1.49","5.48","1.16","11.00","1.05","2.43","1.58"
"120937","29-05-26 02:30","South America","Copa Libertadores","2026","Cruzeiro","Barcelona SC","1.26","5.98","11.40","1.03","13.00","1.28","3.75","1.91","1.91","3.37","1.34","6.32","1.13","2.43","1.58"
"120936","29-05-26 02:30","South America","Copa Libertadores","2026","Boca Juniors","U. Catolica","1.45","4.52","7.03","1.06","10.00","1.40","3.00","2.24","1.67","4.05","1.25","8.08","1.09","2.15","1.72"
"120935","29-05-26 00:00","South America","Copa Libertadores","2026","Palmeiras","Junior","1.21","6.95","12.50","1.02","15.00","1.26","4.00","1.75","2.10","2.82","1.45","5.26","1.17","2.21","1.68"
"120934","29-05-26 00:00","South America","Copa Libertadores","2026","Cerro Porteno","Sporting Cristal","1.78","3.43","5.04","1.09","8.00","1.46","2.75","2.34","1.62","4.37","1.22","9.48","1.06","2.01","1.83"
"120924","28-05-26 02:30","South America","Copa Libertadores","2026","Penarol","Santa Fe","1.63","3.81","5.73","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","2.15","1.72"
"120923","28-05-26 02:30","South America","Copa Libertadores","2026","Fluminense","La Guaira","1.17","7.53","15.90","1.02","14.90","1.18","5.00","1.60","2.38","2.53","1.54","4.37","1.22","2.55","1.53"
"120922","28-05-26 02:30","South America","Copa Libertadores","2026","Corinthians","Platense","1.68","3.52","5.75","1.14","6.00","1.60","2.38","2.82","1.45","5.81","1.14","11.70","1.04","2.55","1.53"
"120921","28-05-26 02:30","South America","Copa Libertadores","2026","Bolivar","Ind. Rivadavia","2.49","3.49","2.75","1.06","10.00","1.31","3.50","1.99","1.83","3.60","1.30","6.80","1.11","1.72","2.15"
"120919","28-05-26 00:00","South America","Copa Libertadores","2026","Ind. del Valle","Rosario Central","2.06","3.30","3.80","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.90","1.93"
"120920","28-05-26 00:00","South America","Copa Libertadores","2026","Libertad Asuncion","Universidad Central","1.54","4.54","5.53","1.02","15.00","1.26","4.00","1.75","2.10","3.01","1.40","5.26","1.17","1.84","1.99"
"120918","27-05-26 02:30","South America","Copa Libertadores","2026","U. de Deportes","Deportes Tolima","2.07","3.23","3.84","1.10","7.00","1.50","2.63","2.63","1.50","4.97","1.18","10.60","1.05","2.01","1.83"
"120917","27-05-26 02:30","South America","Copa Libertadores","2026","Nacional","Coquimbo","2.13","3.38","3.50","1.06","10.00","1.33","3.40","2.03","1.80","3.60","1.30","7.24","1.10","1.79","2.05"
"120916","27-05-26 02:30","South America","Copa Libertadores","2026","Flamengo RJ","Cusco","1.13","9.65","16.50","1.01","21.00","1.07","9.00","1.31","3.50","1.83","2.00","2.82","1.45","2.11","1.75"
"120915","27-05-26 02:30","South America","Copa Libertadores","2026","Estudiantes L.P.","Ind. Medellin","1.69","3.54","5.59","1.09","8.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","2.15","1.72"
"120914","27-05-26 00:00","South America","Copa Libertadores","2026","LDU Quito","Always Ready","1.41","5.76","6.01","1.02","14.90","1.18","5.00","1.60","2.38","2.53","1.54","4.37","1.22","1.84","1.99"
"120913","27-05-26 00:00","South America","Copa Libertadores","2026","Lanus","Mirassol","2.02","3.14","4.18","1.14","6.00","1.54","2.50","2.82","1.45","5.81","1.14","11.70","1.04","2.15","1.72"
"120779","22-05-26 02:30","South America","Copa Libertadores","2026","U. Catolica","Barcelona SC","1.68","3.61","5.55","1.09","8.00","1.40","3.00","2.24","1.67","4.05","1.25","8.82","1.07","2.01","1.83"
"120778","22-05-26 02:30","South America","Copa Libertadores","2026","Penarol","Corinthians","2.38","2.94","3.44","1.14","5.79","1.60","2.37","2.86","1.43","6.02","1.14","12.50","1.03","2.15","1.72"
"120777","22-05-26 00:00","South America","Copa Libertadores","2026","La Guaira","Ind. Rivadavia","4.99","3.39","1.79","1.11","6.84","1.50","2.63","2.69","1.48","5.53","1.15","11.10","1.05","2.21","1.68"
"120767","21-05-26 04:00","South America","Copa Libertadores","2026","Junior","Sporting Cristal","1.88","3.52","4.24","1.06","10.00","1.31","3.50","1.99","1.83","3.37","1.34","6.80","1.11","1.84","1.99"
"120766","21-05-26 04:00","South America","Copa Libertadores","2026","Cusco","Ind. Medellin","2.58","3.32","2.75","1.05","11.00","1.28","3.75","1.99","1.83","3.37","1.34","6.80","1.11","1.75","2.11"
"120765","21-05-26 02:30","South America","Copa Libertadores","2026","Palmeiras","Cerro Porteno","1.31","5.28","10.10","1.05","11.00","1.31","3.50","1.99","1.83","3.60","1.30","6.80","1.11","2.21","1.68"
"120763","21-05-26 02:30","South America","Copa Libertadores","2026","Flamengo RJ","Estudiantes L.P.","1.55","3.79","6.99","1.09","8.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","2.21","1.68"
"120764","21-05-26 02:30","South America","Copa Libertadores","2026","LDU Quito","Lanus","1.88","3.44","4.39","1.09","8.00","1.46","2.75","2.34","1.62","4.37","1.22","9.48","1.06","1.95","1.88"
"120762","21-05-26 00:00","South America","Copa Libertadores","2026","Nacional","U. de Deportes","1.81","3.43","4.78","1.06","9.57","1.37","3.19","2.11","1.74","3.82","1.28","8.32","1.08","1.90","1.93"
"120745","20-05-26 04:00","South America","Copa Libertadores","2026","Ind. del Valle","Libertad Asuncion","1.29","5.54","10.50","1.02","15.00","1.18","5.00","1.66","2.25","2.53","1.54","4.68","1.20","2.11","1.75"
"120744","20-05-26 02:30","South America","Copa Libertadores","2026","Boca Juniors","Cruzeiro","1.92","3.12","4.76","1.12","6.50","1.54","2.50","2.82","1.45","5.26","1.17","11.70","1.04","2.15","1.72"
"120743","20-05-26 02:00","South America","Copa Libertadores","2026","Santa Fe","Platense","2.12","3.13","3.83","1.14","6.00","1.60","2.38","3.01","1.40","5.81","1.14","11.70","1.04","2.21","1.68"
"120742","20-05-26 02:00","South America","Copa Libertadores","2026","Always Ready","Mirassol","4.75","3.99","1.69","1.05","11.00","1.31","3.50","1.99","1.83","3.37","1.34","6.80","1.11","1.82","2.01"
"120741","20-05-26 00:00","South America","Copa Libertadores","2026","Rosario Central","Universidad Central","1.17","7.00","18.10","1.03","14.20","1.20","4.72","1.66","2.24","2.70","1.48","4.65","1.20","2.43","1.58"
"120740","20-05-26 00:00","South America","Copa Libertadores","2026","Fluminense","Bolivar","1.21","6.25","16.00","1.02","15.00","1.18","5.00","1.66","2.25","2.53","1.54","4.68","1.20","2.21","1.68"
"120739","20-05-26 00:00","South America","Copa Libertadores","2026","Coquimbo","Deportes Tolima","2.17","3.02","3.83","1.13","6.38","1.49","2.66","2.66","1.49","5.48","1.16","11.00","1.05","2.06","1.78"
"120356","08-05-26 04:00","South America","Copa Libertadores","2026","Junior","Cerro Porteno","1.94","3.39","4.10","1.09","8.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","2.01","1.83"
"120358","08-05-26 02:00","South America","Copa Libertadores","2026","Coquimbo","U. de Deportes","2.27","3.00","3.58","1.12","6.50","1.54","2.50","2.63","1.50","5.26","1.17","10.60","1.05","2.01","1.83"
"120360","08-05-26 00:00","South America","Copa Libertadores","2026","Platense","Penarol","2.06","2.88","4.57","1.18","5.00","1.75","2.10","3.37","1.34","7.24","1.10","14.00","1.03","2.43","1.58"
"120359","08-05-26 00:00","South America","Copa Libertadores","2026","Mirassol","LDU Quito","1.68","3.79","5.23","1.09","8.00","1.40","3.00","2.24","1.67","4.37","1.22","8.82","1.07","2.06","1.78"
"120362","07-05-26 04:00","South America","Copa Libertadores","2026","U. Catolica","Cruzeiro","2.79","3.03","2.75","1.12","6.50","1.50","2.63","2.63","1.50","4.97","1.18","10.60","1.05","1.95","1.88"
"120361","07-05-26 04:00","South America","Copa Libertadores","2026","Deportes Tolima","Nacional","1.90","3.40","4.33","1.09","8.00","1.46","2.75","2.34","1.62","4.37","1.22","9.48","1.06","1.95","1.88"
"120364","07-05-26 02:30","South America","Copa Libertadores","2026","Santa Fe","Corinthians","3.57","2.80","2.41","1.18","5.00","1.75","2.10","3.37","1.34","7.24","1.10","14.00","1.03","2.32","1.63"
"120363","07-05-26 02:30","South America","Copa Libertadores","2026","Ind. Rivadavia","Fluminense","2.32","3.03","3.43","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.90","1.93"
"120366","07-05-26 00:00","South America","Copa Libertadores","2026","La Guaira","Bolivar","3.42","3.10","2.29","1.10","7.00","1.50","2.63","2.53","1.54","4.97","1.18","10.60","1.05","1.95","1.88"
"120365","07-05-26 00:00","South America","Copa Libertadores","2026","Cusco","Estudiantes L.P.","3.28","3.21","2.30","1.12","6.50","1.54","2.50","2.82","1.45","5.81","1.14","11.70","1.04","2.06","1.78"
"120367","06-05-26 02:30","South America","Copa Libertadores","2026","Always Ready","Lanus","1.93","3.56","3.97","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","2.05","1.79"
"120369","06-05-26 02:00","South America","Copa Libertadores","2026","Universidad Central","Ind. del Valle","5.94","4.19","1.55","1.05","11.00","1.31","3.50","1.99","1.83","3.37","1.34","6.80","1.11","1.95","1.88"
"120368","06-05-26 02:00","South America","Copa Libertadores","2026","Barcelona SC","Boca Juniors","4.58","3.21","1.91","1.11","6.84","1.50","2.63","2.69","1.48","5.01","1.18","11.10","1.05","2.15","1.72"
"120371","06-05-26 00:00","South America","Copa Libertadores","2026","Sporting Cristal","Palmeiras","6.11","4.14","1.54","1.04","11.60","1.29","3.68","1.90","1.92","3.21","1.36","6.48","1.12","1.90","1.93"
"120370","06-05-26 00:00","South America","Copa Libertadores","2026","Rosario Central","Libertad Asuncion","1.36","5.03","8.46","1.03","13.00","1.26","4.00","1.83","2.00","3.01","1.40","5.81","1.14","2.06","1.78"
"120372","01-05-26 04:00","South America","Copa Libertadores","2026","Ind. Medellin","Cusco","1.43","4.82","6.76","1.03","13.00","1.23","4.33","1.75","2.10","2.82","1.45","5.26","1.17","1.90","1.93"
"120373","01-05-26 02:00","South America","Copa Libertadores","2026","Corinthians","Penarol","1.51","3.63","8.58","1.14","6.00","1.54","2.50","2.82","1.45","5.26","1.17","11.70","1.04","2.57","1.52"
