temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
2015,2015,1,Velez Sarsfield,Aldosivi,2,0,1.62,3.4,6.5,Velez Sarsfield,1.62
2015,2015,1,Racing Clube,CA Rosário Central,0,1,1.75,3.25,5.5,CA Rosário Central,5.5
2015,2015,1,CA San Lorenzo de Almagro,Colon Santa Fe,2,0,1.67,3.4,6.0,CA San Lorenzo de Almagro,1.67
2015,2015,1,Gimnasia La Plata,Defesa e Justiça,0,1,2.05,3.2,3.8,Defesa e Justiça,3.8
2015,2015,1,Cruzeiro do Norte,Club Atletico Tigre,0,0,2.5,3.0,3.0,,
2015,2015,1,Godoy Cruz,San Martin de San Juan,1,1,2.0,3.2,4.0,Empate,3.2
2015,2015,1,Newell´s Old Boys,CA Independiente,2,3,2.0,3.2,4.0,CA Independiente,4.0
2015,2015,1,CA Banfield,CA Temperley,0,1,1.73,3.5,5.0,CA Temperley,5.0
2015,2015,1,Quilmes AC,Atlético Lanus,0,1,3.0,3.0,2.5,Atlético Lanus,2.5
2015,2015,1,Boca Juniors,Olimpo Bahia Blanco,3,1,1.53,3.6,7.5,Boca Juniors,1.53
2015,2015,1,Argentinos Jrs,Atletico de Rafaela,2,0,2.5,3.1,2.9,Argentinos Jrs,2.5
2015,2015,1,Sarmiento,River Plate,1,4,5.0,3.4,1.75,River Plate,1.75
2015,2015,2,Arsenal de Sarandi,Estudiantes de La Plata,0,1,3.3,2.9,2.4,Estudiantes de La Plata,2.4
2015,2015,2,CA Belgrano,Nueva Chicago,3,1,1.65,3.5,5.75,CA Belgrano,1.65
2015,2015,2,Atletico de Rafaela,CA Banfield,1,4,2.5,3.1,2.9,CA Banfield,2.9
2015,2015,2,Velez Sarsfield,Cruzeiro do Norte,2,1,1.53,3.75,7.0,,
2015,2015,2,Estudiantes de La Plata,Godoy Cruz,2,1,1.57,3.5,7.0,Estudiantes de La Plata,1.57
2015,2015,2,CA Rosário Central,Club Atletico Tigre,2,1,1.91,3.0,4.75,CA Rosário Central,1.91
2015,2015,2,Olimpo Bahia Blanco,Racing Clube,0,0,2.4,3.0,3.2,Empate,3.0
2015,2015,2,San Martin de San Juan,Gimnasia La Plata,1,1,2.75,3.1,2.63,Empate,3.1
2015,2015,2,Aldosivi,Newell´s Old Boys,0,1,2.9,3.1,2.5,Newell´s Old Boys,2.5
2015,2015,2,CA Independiente,Sarmiento,1,1,1.44,3.8,9.0,Empate,3.8
2015,2015,2,Nueva Chicago,Union de Santa Fe,2,2,2.5,3.1,2.9,Empate,3.1
2015,2015,2,River Plate,Quilmes AC,2,2,1.36,4.33,9.5,Empate,4.33
2015,2015,2,Colon Santa Fe,Argentinos Jrs,1,1,2.1,3.0,4.0,Empate,3.0
2015,2015,2,CA Temperley,Boca Juniors,0,2,5.5,3.75,1.62,Boca Juniors,1.62
2015,2015,3,Atlético Lanus,CA Belgrano,0,0,2.0,3.1,4.2,Empate,3.1
2015,2015,3,Defesa e Justiça,CA San Lorenzo de Almagro,1,2,2.6,3.0,2.9,CA San Lorenzo de Almagro,2.9
2015,2015,3,Arsenal de Sarandi,Nueva Chicago,1,1,2.0,3.2,4.0,Empate,3.2
2015,2015,3,Cruzeiro do Norte,CA Rosário Central,0,1,2.88,3.0,2.6,,
2015,2015,3,Club Atletico Tigre,Olimpo Bahia Blanco,1,0,2.0,3.2,4.0,Club Atletico Tigre,2.0
2015,2015,3,Union de Santa Fe,Atlético Lanus,1,1,2.8,3.0,2.7,Empate,3.0
2015,2015,3,Quilmes AC,CA Independiente,1,2,3.0,3.0,2.5,CA Independiente,2.5
2015,2015,3,CA San Lorenzo de Almagro,San Martin de San Juan,1,2,1.65,3.4,6.0,San Martin de San Juan,6.0
2015,2015,3,Gimnasia La Plata,Estudiantes de La Plata,1,3,2.75,2.88,2.8,Estudiantes de La Plata,2.8
2015,2015,3,Boca Juniors,Atletico de Rafaela,1,0,1.36,4.5,9.0,Boca Juniors,1.36
2015,2015,3,Argentinos Jrs,Defesa e Justiça,1,0,2.5,3.0,3.0,Argentinos Jrs,2.5
2015,2015,3,Racing Clube,CA Temperley,2,1,1.45,3.9,8.5,Racing Clube,1.45
2015,2015,3,CA Belgrano,River Plate,1,2,3.4,3.0,2.3,River Plate,2.3
2015,2015,4,Atletico de Rafaela,Racing Clube,1,1,2.63,3.1,2.75,Empate,3.1
2015,2015,4,Newell´s Old Boys,Cruzeiro do Norte,2,0,1.57,3.6,6.5,,
