temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,Sint Truiden,Clube Brugge,2,1,4.33,4.0,1.7,Sint Truiden,4.33
15/16,15/16,1,KV Kortrijk,Standard Liege,2,1,3.0,3.4,2.3,KV Kortrijk,3.0
15/16,15/16,1,Genk,Oud-Heverlee Leuven,3,1,1.53,3.8,6.5,Genk,1.53
15/16,15/16,1,KV Oostende,KV Mechelen,3,1,2.63,3.3,2.63,KV Oostende,2.63
15/16,15/16,1,SV Zulte Waregem,Lokeren,3,1,2.38,3.4,2.88,SV Zulte Waregem,2.38
15/16,15/16,1,KVC Westerlo,Gent,1,1,5.5,4.0,1.57,Empate,4.0
15/16,15/16,1,Anderlecht,Red Star Waasland,3,2,1.2,7.0,11.0,Anderlecht,1.2
15/16,15/16,1,Royal Charleroi SC,Royal Mouscron,2,1,1.44,4.33,7.0,Royal Charleroi SC,1.44
15/16,15/16,2,Gent,Genk,1,0,1.67,3.6,5.25,Gent,1.67
15/16,15/16,2,Clube Brugge,KV Mechelen,3,0,1.8,4.0,3.9,Clube Brugge,1.8
15/16,15/16,2,KV Oostende,KVC Westerlo,2,1,1.73,3.6,4.75,KV Oostende,1.73
15/16,15/16,2,Red Star Waasland,KV Kortrijk,2,1,3.25,3.25,2.2,Red Star Waasland,3.25
15/16,15/16,2,Royal Mouscron,Sint Truiden,0,2,2.5,3.3,2.75,Sint Truiden,2.75
15/16,15/16,2,Lokeren,Royal Charleroi SC,2,2,2.15,3.4,3.3,Empate,3.4
15/16,15/16,2,Standard Liege,SV Zulte Waregem,2,1,1.62,3.75,5.5,Standard Liege,1.62
15/16,15/16,2,Oud-Heverlee Leuven,Anderlecht,0,2,5.5,3.9,1.6,Anderlecht,1.6
15/16,15/16,3,SV Zulte Waregem,Genk,0,0,2.75,3.3,2.5,Empate,3.3
15/16,15/16,3,KV Kortrijk,Lokeren,0,0,2.4,3.3,2.9,Empate,3.3
15/16,15/16,3,KV Mechelen,Royal Mouscron,3,1,1.44,4.2,7.5,KV Mechelen,1.44
15/16,15/16,3,KVC Westerlo,Oud-Heverlee Leuven,3,2,2.45,3.4,2.75,KVC Westerlo,2.45
15/16,15/16,3,Sint Truiden,KV Oostende,1,1,2.6,3.25,2.7,Empate,3.25
15/16,15/16,3,Anderlecht,Gent,1,1,1.85,3.5,4.2,Empate,3.5
15/16,15/16,3,Royal Charleroi SC,Clube Brugge,0,0,3.3,3.3,2.2,Empate,3.3
15/16,15/16,3,Standard Liege,Red Star Waasland,1,0,1.3,5.0,10.0,Standard Liege,1.3
15/16,15/16,4,Clube Brugge,KV Kortrijk,2,1,1.4,4.75,7.0,Clube Brugge,1.4
15/16,15/16,4,Royal Mouscron,Standard Liege,1,1,4.33,3.4,1.85,Empate,3.4
15/16,15/16,4,Genk,KVC Westerlo,2,1,1.4,4.75,7.0,Genk,1.4
15/16,15/16,4,Lokeren,KV Mechelen,2,0,2.05,3.5,3.4,Lokeren,2.05
15/16,15/16,4,Red Star Waasland,SV Zulte Waregem,2,1,3.0,3.3,2.3,Red Star Waasland,3.0
15/16,15/16,4,KV Oostende,Anderlecht,3,1,3.5,3.5,2.0,KV Oostende,3.5
15/16,15/16,4,Gent,Sint Truiden,1,0,1.29,5.25,10.0,Gent,1.29
15/16,15/16,4,Oud-Heverlee Leuven,Royal Charleroi SC,2,0,2.7,3.3,2.55,Oud-Heverlee Leuven,2.7
15/16,15/16,5,Sint Truiden,Genk,3,1,3.5,3.4,2.05,Sint Truiden,3.5
15/16,15/16,5,SV Zulte Waregem,Clube Brugge,2,0,3.2,3.4,2.2,SV Zulte Waregem,3.2
15/16,15/16,5,KV Mechelen,Oud-Heverlee Leuven,2,1,1.75,3.75,4.5,KV Mechelen,1.75
15/16,15/16,5,Red Star Waasland,Royal Mouscron,3,3,2.05,3.3,3.6,Empate,3.3
15/16,15/16,5,Royal Charleroi SC,KVC Westerlo,0,0,1.53,4.0,6.0,Empate,4.0
