temporada,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
2015,1,Chapecoense,Coritiba,2,1,2.1,3.1,3.8,Chapecoense,2.1
2015,1,Palmeiras,Atlético Mineiro,2,2,1.53,3.75,7.0,Empate,3.75
2015,1,Fluminense,Joinville,1,0,1.62,3.6,6.0,Fluminense,1.62
2015,1,Grêmio,Ponte Preta,3,3,1.57,3.75,6.0,Empate,3.75
2015,1,Athletico-PR,Internacional,3,0,2.2,3.2,3.4,Athletico-PR,2.2
2015,1,Cruzeiro,Corinthians,0,1,2.9,3.25,2.4,Corinthians,2.4
2015,1,São Paulo,Flamengo,2,1,2.15,3.5,3.2,São Paulo,2.15
2015,1,Sport Recife,Figueirense,4,1,1.7,3.6,5.0,Sport Recife,1.7
2015,1,Avaí,Santos,1,1,3.4,3.2,2.2,Empate,3.2
2015,1,Vasco da Gama,Goiás,0,0,1.67,3.6,5.25,Empate,3.6
2015,2,Coritiba,Grêmio,2,0,2.6,3.2,2.7,Coritiba,2.6
2015,2,Goiás,Athletico-PR,2,0,2.15,3.1,3.6,Goiás,2.15
2015,2,Corinthians,Chapecoense,1,0,1.44,4.2,7.5,Corinthians,1.44
2015,2,Figueirense,Vasco da Gama,0,0,2.45,3.1,3.0,Empate,3.1
2015,2,Atlético Mineiro,Fluminense,4,1,2.0,3.2,4.0,Atlético Mineiro,2.0
2015,2,Flamengo,Sport Recife,2,2,1.62,3.75,5.5,Empate,3.75
2015,2,Santos,Cruzeiro,1,0,1.75,3.6,4.6,Santos,1.75
2015,2,Internacional,Avaí,1,0,1.67,3.8,5.0,Internacional,1.67
2015,2,Joinville,Palmeiras,0,0,3.25,3.1,2.3,Empate,3.1
2015,2,Ponte Preta,São Paulo,1,0,3.0,3.2,2.4,Ponte Preta,3.0
2015,3,São Paulo,Joinville,3,0,1.44,4.2,7.5,São Paulo,1.44
2015,3,Vasco da Gama,Internacional,1,1,1.83,3.5,4.33,Empate,3.5
2015,3,Grêmio,Figueirense,1,0,1.5,3.8,7.5,Grêmio,1.5
2015,3,Palmeiras,Goiás,0,1,1.45,4.0,8.0,Goiás,8.0
2015,3,Athletico-PR,Atlético Mineiro,1,0,3.3,3.3,2.15,Athletico-PR,3.3
2015,3,Avaí,Flamengo,2,1,2.5,3.1,2.9,Avaí,2.5
2015,3,Chapecoense,Santos,1,0,2.55,3.1,2.88,Chapecoense,2.55
2015,3,Fluminense,Corinthians,0,0,2.5,3.1,2.9,Empate,3.1
2015,3,Cruzeiro,Ponte Preta,1,1,2.05,3.3,3.6,Empate,3.3
2015,3,Sport Recife,Coritiba,1,0,1.95,3.3,4.0,Sport Recife,1.95
2015,4,Coritiba,Avaí,1,2,1.67,3.5,5.5,Avaí,5.5
2015,4,Ponte Preta,Chapecoense,3,1,1.7,3.6,5.0,Ponte Preta,1.7
2015,4,Joinville,Athletico-PR,1,2,2.38,3.25,3.0,Athletico-PR,3.0
2015,4,Santos,Sport Recife,2,2,1.55,3.8,6.0,Empate,3.8
2015,4,Atlético Mineiro,Vasco da Gama,3,0,1.4,4.2,9.0,Atlético Mineiro,1.4
2015,4,Corinthians,Palmeiras,0,2,2.0,3.3,3.75,Palmeiras,3.75
2015,4,Goiás,Grêmio,1,1,2.63,3.2,2.7,Empate,3.2
2015,4,Internacional,São Paulo,0,0,2.38,3.2,3.0,Empate,3.2
2015,4,Figueirense,Cruzeiro,2,1,3.1,3.1,2.38,Figueirense,3.1
2015,4,Flamengo,Fluminense,2,3,2.38,3.2,3.0,Fluminense,3.0
2015,5,Athletico-PR,Figueirense,1,0,1.67,3.5,5.5,Athletico-PR,1.67
2015,5,Chapecoense,Joinville,2,0,1.67,3.6,5.5,Chapecoense,1.67
2015,5,Vasco da Gama,Ponte Preta,0,3,2.45,3.2,2.9,Ponte Preta,2.9
2015,5,São Paulo,Santos,3,2,1.85,3.4,4.33,São Paulo,1.85
2015,5,Avaí,Atlético Mineiro,1,4,3.75,3.4,2.0,Atlético Mineiro,2.0
2015,5,Cruzeiro,Flamengo,1,0,1.8,3.6,4.33,Cruzeiro,1.8
2015,5,Grêmio,Corinthians,3,1,2.1,3.1,3.8,Grêmio,2.1
2015,5,Fluminense,Coritiba,2,0,1.73,3.5,5.0,Fluminense,1.73
