temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,Bayern de Munique,Hamburgo SV,5,0,1.08,11.0,29.0,Bayern de Munique,1.08
15/16,15/16,1,Bayer Leverkusen,TSG Hoffenheim,2,1,1.5,4.33,6.5,Bayer Leverkusen,1.5
15/16,15/16,1,FC Augsburgo,Hertha Berlim,0,1,2.05,3.3,3.8,Hertha Berlim,3.8
15/16,15/16,1,Mainz,FC Ingolstadt,0,1,1.91,3.5,4.2,FC Ingolstadt,4.2
15/16,15/16,1,SV Darmstadt 98,Hannover Sportverein,2,2,2.6,3.3,2.75,Empate,3.3
15/16,15/16,1,Werder Bremen,Schalke 04,0,3,3.0,3.6,2.2,Schalke 04,2.2
15/16,15/16,1,Borussia Dortmund,Monchengladbach,4,0,1.57,4.33,5.5,Borussia Dortmund,1.57
15/16,15/16,1,Wolfsburg,Eintracht Frankfurt,2,1,1.36,5.25,8.0,Wolfsburg,1.36
15/16,15/16,1,Estugarda,Colónia,1,3,2.05,3.5,3.6,Colónia,3.6
15/16,15/16,2,Hertha Berlim,Werder Bremen,1,1,2.0,3.5,3.6,Empate,3.5
15/16,15/16,2,Colónia,Wolfsburg,1,1,4.0,3.8,1.8,Empate,3.8
15/16,15/16,2,Eintracht Frankfurt,FC Augsburgo,1,1,2.2,3.4,3.2,Empate,3.4
15/16,15/16,2,Hannover Sportverein,Bayer Leverkusen,0,1,4.33,3.6,1.8,Bayer Leverkusen,1.8
15/16,15/16,2,Schalke 04,SV Darmstadt 98,1,1,1.44,4.33,7.0,Empate,4.33
15/16,15/16,2,TSG Hoffenheim,Bayern de Munique,1,2,9.5,5.25,1.3,Bayern de Munique,1.3
15/16,15/16,2,Hamburgo SV,Estugarda,3,2,2.7,3.4,2.5,Hamburgo SV,2.7
15/16,15/16,2,FC Ingolstadt,Borussia Dortmund,0,4,6.5,4.5,1.44,Borussia Dortmund,1.44
15/16,15/16,2,Monchengladbach,Mainz,1,2,1.67,3.6,5.25,Mainz,5.25
15/16,15/16,5,Mainz,TSG Hoffenheim,3,1,2.15,3.5,3.3,Mainz,2.15
15/16,15/16,5,Colónia,Monchengladbach,1,0,2.4,3.3,3.0,Colónia,2.4
15/16,15/16,5,Hamburgo SV,Eintracht Frankfurt,0,0,2.5,3.5,2.75,Empate,3.5
15/16,15/16,5,SV Darmstadt 98,Bayern de Munique,0,3,19.0,7.0,1.17,,
15/16,15/16,5,Werder Bremen,FC Ingolstadt,0,1,2.05,3.5,3.6,FC Ingolstadt,3.6
15/16,15/16,5,Wolfsburg,Hertha Berlim,2,0,1.5,4.33,6.5,Wolfsburg,1.5
15/16,15/16,5,Estugarda,Schalke 04,0,1,2.63,3.5,2.6,Schalke 04,2.6
15/16,15/16,5,Borussia Dortmund,Bayer Leverkusen,3,0,1.73,4.0,4.5,Borussia Dortmund,1.73
15/16,15/16,5,FC Augsburgo,Hannover Sportverein,2,0,2.0,3.5,3.75,FC Augsburgo,2.0
