temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
2015,2015,1,Desportos Tolima,Boyaca Chico FC,4,1,1.57,3.75,6.0,Desportos Tolima,1.57
2015,2015,1,CD Once Caldas,Independiente Medellin,0,2,2.38,3.1,3.1,Independiente Medellin,3.1
2015,2015,1,Atletico Nacional Medellin,Rionegro Aguilas,2,0,1.57,3.5,7.0,Atletico Nacional Medellin,1.57
2015,2015,1,Jaguares de Córdoba,Desportivo Cali,0,0,4.2,3.3,1.91,Empate,3.3
2015,2015,1,Desportivo La Equidad,Independiente Santa Fe,2,2,3.25,3.2,2.38,Empate,3.2
2015,2015,1,Patriotas FC,Atletico Huila,2,1,1.73,3.5,5.0,Patriotas FC,1.73
2015,2015,1,Cucuta Desportivo,Clube Atlético Junior,1,0,3.1,3.1,2.38,Cucuta Desportivo,3.1
2015,2015,2,Atletico Huila,Jaguares de Córdoba,2,1,1.75,3.6,4.75,Atletico Huila,1.75
2015,2015,2,Desportivo Pasto,Clube Cortulua,0,3,1.55,3.75,6.5,Clube Cortulua,6.5
2015,2015,2,Millonarios FC,Patriotas FC,2,0,1.44,4.0,8.0,Millonarios FC,1.44
2015,2015,2,Independiente Medellin,Atletico Nacional Medellin,0,1,2.3,3.2,3.1,Atletico Nacional Medellin,3.1
2015,2015,2,Cucuta Desportivo,Independiente Santa Fe,2,2,4.0,3.4,1.91,Empate,3.4
2015,2015,2,Boyaca Chico FC,Alianza Petrolera,0,0,1.95,3.4,3.8,Empate,3.4
2015,2015,2,Desportivo Cali,Desportivo La Equidad,2,0,1.67,3.5,5.5,Desportivo Cali,1.67
2015,2015,2,Clube Atlético Junior,CD Once Caldas,2,1,1.5,4.0,7.0,Clube Atlético Junior,1.5
2015,2015,2,Envigado,Desportos Tolima,1,0,3.0,3.2,2.4,Envigado,3.0
2015,2015,3,Jaguares de Córdoba,Desportivo Pasto,2,0,1.95,3.3,4.0,Jaguares de Córdoba,1.95
2015,2015,3,Patriotas FC,Cucuta Desportivo,3,0,2.0,3.3,3.8,Patriotas FC,2.0
2015,2015,3,Alianza Petrolera,Rionegro Aguilas,1,0,2.3,3.2,3.1,Alianza Petrolera,2.3
2015,2015,3,Atletico Nacional Medellin,Atletico Huila,1,2,1.57,3.75,6.0,Atletico Huila,6.0
2015,2015,3,Desportivo La Equidad,Envigado,0,1,1.53,4.0,6.0,Envigado,6.0
2015,2015,3,Independiente Santa Fe,Boyaca Chico FC,1,0,1.33,4.75,9.5,Independiente Santa Fe,1.33
2015,2015,3,Clube Cortulua,Clube Atlético Junior,2,0,3.1,3.3,2.3,Clube Cortulua,3.1
2015,2015,3,Desportos Tolima,Independiente Medellin,1,2,2.63,3.2,2.7,Independiente Medellin,2.7
2015,2015,3,Desportivo La Equidad,Rionegro Aguilas,0,2,2.0,3.3,3.8,Rionegro Aguilas,3.8
2015,2015,3,Alianza Petrolera,Independiente Santa Fe,0,1,2.15,3.2,3.5,Independiente Santa Fe,3.5
2015,2015,3,Envigado,Atletico Nacional Medellin,1,2,4.2,3.5,1.83,Atletico Nacional Medellin,1.83
2015,2015,3,Millonarios FC,Cucuta Desportivo,3,0,1.29,5.0,11.0,Millonarios FC,1.29
2015,2015,3,Clube Atlético Junior,Patriotas FC,2,0,1.73,3.2,4.5,,
2015,2015,3,Clube Cortulua,Atletico Huila,0,1,2.3,3.1,3.25,Atletico Huila,3.25
2015,2015,3,Desportos Tolima,Desportivo Cali,4,1,2.1,3.4,3.4,Desportos Tolima,2.1
2015,2015,3,Independiente Medellin,Jaguares de Córdoba,2,2,1.4,4.33,8.5,Empate,4.33
2015,2015,3,CD Once Caldas,Desportivo Pasto,1,0,1.53,4.0,6.0,CD Once Caldas,1.53
2015,2015,4,Cucuta Desportivo,Boyaca Chico FC,1,1,1.85,3.5,4.2,Empate,3.5
2015,2015,4,Desportivo Cali,Alianza Petrolera,0,0,1.5,3.8,8.0,Empate,3.8
2015,2015,4,Millonarios FC,Clube Cortulua,4,1,1.36,4.75,8.0,Millonarios FC,1.36
2015,2015,4,Clube Atlético Junior,Jaguares de Córdoba,4,0,1.4,4.33,8.5,Clube Atlético Junior,1.4
2015,2015,4,Patriotas FC,CD Once Caldas,1,1,2.15,3.2,3.5,Empate,3.2
2015,2015,4,Rionegro Aguilas,Independiente Santa Fe,1,1,1.75,3.4,5.0,Empate,3.4
