temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,Roda JC,Heracles,3,1,2.25,3.5,3.0,Roda JC,2.25
15/16,15/16,1,Feyenoord,Utrecht,3,2,1.4,5.0,6.5,Feyenoord,1.4
15/16,15/16,1,AZ Alkmaar,Ajax,0,3,3.5,3.6,2.0,Ajax,2.0
15/16,15/16,1,Willem II,Vitesse,1,1,2.75,3.6,2.38,Empate,3.6
15/16,15/16,2,Den Haag,PSV,2,2,6.0,4.33,1.5,Empate,4.33
15/16,15/16,2,Heerenveen,De Graafschap,3,1,1.45,4.5,6.5,Heerenveen,1.45
15/16,15/16,2,Groningen,Twente,1,1,2.55,3.4,2.63,Empate,3.4
15/16,15/16,2,Zwolle,SC Cambuur,2,2,1.95,3.5,3.75,Empate,3.5
15/16,15/16,2,NEC Nijmegen,S.B.V. Excelsior,1,0,1.83,3.6,4.2,NEC Nijmegen,1.83
15/16,15/16,2,Vitesse,Roda JC,3,0,1.44,4.75,6.0,Vitesse,1.44
15/16,15/16,2,De Graafschap,Zwolle,0,3,2.55,3.6,2.55,Zwolle,2.55
15/16,15/16,2,Ajax,Willem II,3,0,1.36,4.75,8.0,Ajax,1.36
15/16,15/16,2,Twente,Den Haag,1,4,1.73,3.8,4.5,Den Haag,4.5
15/16,15/16,2,S.B.V. Excelsior,AZ Alkmaar,2,2,2.9,3.3,2.38,Empate,3.3
15/16,15/16,2,PSV,Groningen,2,0,1.29,5.25,10.0,PSV,1.29
15/16,15/16,2,SC Cambuur,Feyenoord,0,2,4.0,3.6,1.85,Feyenoord,1.85
15/16,15/16,2,Utrecht,Heerenveen,1,1,1.95,3.8,3.4,Empate,3.8
15/16,15/16,2,Heracles,NEC Nijmegen,3,0,2.1,3.6,3.2,Heracles,2.1
15/16,15/16,3,Groningen,S.B.V. Excelsior,2,0,1.67,3.8,5.0,Groningen,1.67
15/16,15/16,3,Roda JC,De Graafschap,1,0,1.83,3.75,4.0,Roda JC,1.83
15/16,15/16,3,Heerenveen,PSV,1,1,4.2,3.6,1.83,Empate,3.6
15/16,15/16,3,SC Cambuur,Heracles,1,6,1.95,3.6,3.6,Heracles,3.6
15/16,15/16,3,Zwolle,Twente,2,1,2.2,3.6,3.0,Zwolle,2.2
15/16,15/16,3,AZ Alkmaar,Willem II,0,0,1.91,3.75,3.6,Empate,3.75
15/16,15/16,3,Den Haag,Utrecht,1,1,2.25,3.4,3.1,Empate,3.4
15/16,15/16,3,NEC Nijmegen,Ajax,0,2,5.0,3.6,1.7,Ajax,1.7
15/16,15/16,3,Feyenoord,Vitesse,2,0,1.67,4.2,4.33,Feyenoord,1.67
15/16,15/16,6,NEC Nijmegen,Heerenveen,2,0,2.3,3.4,3.0,NEC Nijmegen,2.3
15/16,15/16,6,SC Cambuur,Twente,0,0,2.88,3.5,2.3,,
15/16,15/16,6,Heracles,PSV,2,1,4.6,4.0,1.67,Heracles,4.6
15/16,15/16,6,Zwolle,Den Haag,2,1,1.91,3.75,3.6,Zwolle,1.91
15/16,15/16,6,Willem II,Utrecht,3,1,2.4,3.4,2.8,Willem II,2.4
15/16,15/16,6,Roda JC,Feyenoord,1,1,5.0,3.75,1.67,Empate,3.75
15/16,15/16,6,Groningen,AZ Alkmaar,2,0,2.1,3.5,3.3,Groningen,2.1
15/16,15/16,6,Vitesse,De Graafschap,3,0,1.2,7.0,11.0,Vitesse,1.2
15/16,15/16,7,Heerenveen,Vitesse,0,0,2.7,3.6,2.4,Empate,3.6
15/16,15/16,7,Utrecht,SC Cambuur,3,3,1.5,4.33,6.0,Empate,4.33
15/16,15/16,7,Ajax,Groningen,2,0,1.4,4.5,7.5,Ajax,1.4
15/16,15/16,7,AZ Alkmaar,Heracles,3,1,2.0,3.75,3.4,AZ Alkmaar,2.0
15/16,15/16,7,PSV,NEC Nijmegen,2,1,1.22,6.25,11.0,PSV,1.22
15/16,15/16,7,De Graafschap,Willem II,2,2,3.5,3.6,2.0,Empate,3.6
15/16,15/16,7,Feyenoord,Zwolle,2,0,1.36,5.0,7.5,Feyenoord,1.36
15/16,15/16,7,Twente,Roda JC,2,1,1.67,3.8,5.0,Twente,1.67
15/16,15/16,8,Heracles,Heerenveen,2,0,2.05,3.6,3.3,,
15/16,15/16,8,NEC Nijmegen,Den Haag,4,1,2.05,3.4,3.5,NEC Nijmegen,2.05
15/16,15/16,8,Roda JC,SC Cambuur,1,1,1.95,3.5,3.75,Empate,3.5
15/16,15/16,8,Willem II,Zwolle,0,1,2.1,3.6,3.2,Zwolle,3.2
15/16,15/16,8,S.B.V. Excelsior,Utrecht,1,0,2.8,3.4,2.4,S.B.V. Excelsior,2.8
15/16,15/16,8,De Graafschap,Feyenoord,1,2,8.5,4.75,1.36,Feyenoord,1.36
