temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,Verona,AS Roma,1,1,5.0,3.75,1.67,Empate,3.75
15/16,15/16,1,Lázio,Bolonha,2,1,1.44,4.2,7.5,Lázio,1.44
15/16,15/16,1,Juventus,Udinese,0,1,1.25,5.5,13.0,Udinese,13.0
15/16,15/16,1,FC Empoli,Chievo,1,3,2.1,3.3,3.5,Chievo,3.5
15/16,15/16,1,Fiorentina,AC Milão,2,0,2.15,3.3,3.4,Fiorentina,2.15
15/16,15/16,1,Frosinone,FC Turino,1,2,3.5,3.1,2.2,FC Turino,2.2
15/16,15/16,1,Inter de Milão,Atalanta,1,0,1.44,4.2,7.5,Inter de Milão,1.44
15/16,15/16,1,Palermo,Génova,1,0,2.25,3.3,3.2,Palermo,2.25
15/16,15/16,1,Sampdoria,Carpi FC,5,2,1.75,3.5,4.75,Sampdoria,1.75
15/16,15/16,1,Sassuolo,Nápoles,2,1,4.75,3.6,1.75,Sassuolo,4.75
15/16,15/16,4,Sampdoria,Bolonha,2,0,1.91,3.4,4.0,Sampdoria,1.91
15/16,15/16,4,Udinese,FC Empoli,1,2,2.25,3.3,3.3,,
15/16,15/16,4,AC Milão,Palermo,3,2,1.73,3.75,5.0,,
15/16,15/16,4,Chievo,Inter de Milão,0,1,3.75,3.3,2.1,Inter de Milão,2.1
15/16,15/16,4,AS Roma,Sassuolo,2,2,1.4,4.5,8.5,Empate,4.5
15/16,15/16,4,Atalanta,Verona,1,1,2.0,3.5,3.75,Empate,3.5
15/16,15/16,4,Bolonha,Frosinone,1,0,1.95,3.4,4.0,Bolonha,1.95
15/16,15/16,4,FC Turino,Sampdoria,2,0,1.83,3.6,4.33,FC Turino,1.83
15/16,15/16,4,Génova,Juventus,0,2,4.5,3.5,1.83,Juventus,1.83
15/16,15/16,4,Carpi FC,Fiorentina,0,1,4.33,3.4,1.91,Fiorentina,1.91
15/16,15/16,4,Nápoles,Lázio,5,0,1.91,3.6,4.0,,
15/16,15/16,5,Udinese,AC Milão,2,3,3.0,3.25,2.38,AC Milão,2.38
15/16,15/16,5,Carpi FC,Nápoles,0,0,6.5,4.0,1.55,Empate,4.0
15/16,15/16,5,Chievo,FC Turino,1,0,2.8,3.2,2.63,Chievo,2.8
15/16,15/16,5,Fiorentina,Bolonha,2,0,1.44,4.2,8.5,Fiorentina,1.44
15/16,15/16,5,Inter de Milão,Verona,1,0,1.33,5.0,9.5,Inter de Milão,1.33
15/16,15/16,5,Juventus,Frosinone,1,1,1.18,7.0,17.0,Empate,7.0
15/16,15/16,5,Lázio,Génova,2,0,1.8,3.6,4.75,Lázio,1.8
15/16,15/16,5,Palermo,Sassuolo,0,1,2.2,3.3,3.4,Sassuolo,3.4
15/16,15/16,5,Sampdoria,AS Roma,2,1,4.75,3.75,1.75,Sampdoria,4.75
15/16,15/16,5,FC Empoli,Atalanta,0,1,2.15,3.3,3.5,Atalanta,3.5
15/16,15/16,5,AS Roma,Carpi FC,5,1,1.25,6.0,12.0,AS Roma,1.25
15/16,15/16,5,Nápoles,Juventus,2,1,2.2,3.3,3.4,Nápoles,2.2
15/16,15/16,5,Génova,AC Milão,1,0,3.3,3.2,2.3,Génova,3.3
15/16,15/16,5,Bolonha,Udinese,1,2,2.4,3.1,3.2,Udinese,3.2
15/16,15/16,5,FC Turino,Palermo,2,1,1.75,3.6,5.0,FC Turino,1.75
15/16,15/16,5,Sassuolo,Chievo,1,1,2.2,3.2,3.5,Empate,3.2
15/16,15/16,5,Verona,Lázio,1,2,3.75,3.4,2.05,Lázio,2.05
15/16,15/16,5,Inter de Milão,Fiorentina,1,4,1.8,3.6,4.5,Fiorentina,4.5
15/16,15/16,6,Frosinone,FC Empoli,2,0,3.4,3.3,2.2,Frosinone,3.4
15/16,15/16,6,Atalanta,Sampdoria,2,1,1.91,3.5,4.2,,
15/16,15/16,6,Carpi FC,FC Turino,2,1,3.5,3.2,2.2,Carpi FC,3.5
15/16,15/16,6,Chievo,Verona,1,1,2.1,3.3,3.75,Empate,3.3
15/16,15/16,6,FC Empoli,Sassuolo,1,0,2.4,3.3,3.0,FC Empoli,2.4
15/16,15/16,6,Palermo,AS Roma,2,4,4.0,3.5,1.95,AS Roma,1.95
15/16,15/16,6,Sampdoria,Inter de Milão,1,1,4.0,3.5,1.95,Empate,3.5
15/16,15/16,6,Udinese,Génova,1,1,2.5,3.1,3.1,Empate,3.1
15/16,15/16,6,Juventus,Bolonha,3,1,1.22,6.0,16.0,Juventus,1.22
15/16,15/16,6,Lázio,Frosinone,2,0,1.29,5.5,11.0,Lázio,1.29
15/16,15/16,6,AC Milão,Nápoles,0,4,3.0,3.4,2.38,,
15/16,15/16,6,Fiorentina,Atalanta,3,0,1.67,3.6,5.75,Fiorentina,1.67
15/16,15/16,7,AS Roma,FC Empoli,3,1,1.4,4.75,8.0,AS Roma,1.4
15/16,15/16,7,FC Turino,AC Milão,1,1,2.35,3.2,3.2,Empate,3.2
15/16,15/16,7,Bolonha,Palermo,0,1,2.5,3.2,3.0,Palermo,3.0
15/16,15/16,7,Atalanta,Carpi FC,3,0,1.75,3.6,5.0,Atalanta,1.75
15/16,15/16,7,Frosinone,Sampdoria,2,0,3.1,3.2,2.4,Frosinone,3.1
15/16,15/16,7,Génova,Chievo,3,2,2.05,3.3,3.8,Génova,2.05
15/16,15/16,7,Nápoles,Fiorentina,2,1,1.73,3.75,5.0,Nápoles,1.73
15/16,15/16,7,Sassuolo,Lázio,2,1,3.0,3.2,2.45,Sassuolo,3.0
15/16,15/16,7,Verona,Udinese,1,1,2.3,3.3,3.2,Empate,3.3
15/16,15/16,7,Inter de Milão,Juventus,0,0,3.0,3.3,2.4,Empate,3.3
15/16,15/16,8,FC Empoli,Génova,2,0,2.3,3.2,3.3,FC Empoli,2.3
15/16,15/16,8,Carpi FC,Bolonha,1,2,2.1,3.2,3.8,Bolonha,3.8
15/16,15/16,8,Palermo,Inter de Milão,1,1,4.0,3.3,2.0,Empate,3.3
15/16,15/16,8,Sampdoria,Verona,4,1,2.0,3.3,4.0,Sampdoria,2.0
15/16,15/16,8,AC Milão,Sassuolo,2,1,1.75,3.6,5.0,AC Milão,1.75
15/16,15/16,8,Juventus,Atalanta,2,0,1.4,4.33,8.5,Juventus,1.4
15/16,15/16,8,Udinese,Frosinone,1,0,1.57,4.0,6.0,Udinese,1.57
15/16,15/16,8,Fiorentina,AS Roma,1,2,2.5,3.3,2.88,AS Roma,2.88
15/16,15/16,8,Lázio,FC Turino,3,0,1.85,3.5,4.5,Lázio,1.85
15/16,15/16,8,Chievo,Nápoles,0,1,4.5,3.5,1.83,Nápoles,1.83
15/16,15/16,9,Bolonha,Inter de Milão,0,1,5.5,3.5,1.73,Inter de Milão,1.73
15/16,15/16,9,AC Milão,Chievo,1,0,1.7,3.6,5.5,AC Milão,1.7
15/16,15/16,9,AS Roma,Udinese,3,1,1.4,4.75,8.0,AS Roma,1.4
15/16,15/16,9,Atalanta,Lázio,2,1,3.0,3.25,2.45,Atalanta,3.0
15/16,15/16,9,FC Turino,Génova,3,3,1.95,3.5,4.0,Empate,3.5
15/16,15/16,9,Frosinone,Carpi FC,2,1,2.3,3.3,3.2,Frosinone,2.3
15/16,15/16,9,Nápoles,Palermo,2,0,1.25,6.0,12.0,Nápoles,1.25
15/16,15/16,9,Sassuolo,Juventus,1,0,6.0,3.8,1.62,Sassuolo,6.0
15/16,15/16,9,Verona,Fiorentina,0,2,5.0,3.8,1.7,Fiorentina,1.7
15/16,15/16,9,Sampdoria,FC Empoli,1,1,2.3,3.25,3.25,Empate,3.25
15/16,15/16,9,Juventus,FC Turino,2,1,1.57,4.0,6.5,Juventus,1.57
15/16,15/16,9,Inter de Milão,AS Roma,1,0,3.0,3.3,2.4,Inter de Milão,3.0
15/16,15/16,9,Fiorentina,Frosinone,4,1,1.22,6.0,15.0,Fiorentina,1.22
15/16,15/16,9,Bolonha,Atalanta,3,0,3.0,3.0,2.6,Bolonha,3.0
15/16,15/16,9,Carpi FC,Verona,0,0,2.25,3.2,3.4,Empate,3.2
15/16,15/16,9,Génova,Nápoles,0,0,4.5,3.6,1.83,Empate,3.6
15/16,15/16,9,Udinese,Sassuolo,0,0,2.25,3.3,3.3,Empate,3.3
15/16,15/16,9,Lázio,AC Milão,1,3,2.0,3.3,4.0,AC Milão,4.0
15/16,15/16,10,Chievo,Sampdoria,1,1,2.15,3.25,3.4,Empate,3.25
15/16,15/16,10,Palermo,FC Empoli,0,1,2.38,3.2,3.1,FC Empoli,3.1
15/16,15/16,10,Verona,Bolonha,0,2,2.3,3.3,3.25,Bolonha,3.25
15/16,15/16,10,AC Milão,Atalanta,0,0,1.67,3.75,5.5,Empate,3.75
15/16,15/16,10,FC Turino,Inter de Milão,0,1,2.8,3.2,2.63,Inter de Milão,2.63
15/16,15/16,10,AS Roma,Lázio,2,0,2.0,3.5,3.8,AS Roma,2.0
15/16,15/16,10,FC Empoli,Juventus,1,3,6.0,3.6,1.67,Juventus,1.67
15/16,15/16,10,Frosinone,Génova,2,2,3.75,3.5,2.0,Empate,3.5
15/16,15/16,10,Palermo,Chievo,1,0,2.4,3.2,3.2,Palermo,2.4
15/16,15/16,10,Sassuolo,Carpi FC,1,0,1.73,3.6,5.0,Sassuolo,1.73
15/16,15/16,10,Nápoles,Udinese,1,0,1.22,6.5,13.0,Nápoles,1.22
15/16,15/16,10,Sampdoria,Fiorentina,0,2,4.5,3.7,1.8,Fiorentina,1.8
15/16,15/16,11,Bolonha,AS Roma,2,2,4.5,3.5,1.85,Empate,3.5
15/16,15/16,11,Juventus,AC Milão,1,0,1.53,3.8,7.5,Juventus,1.53
15/16,15/16,11,Verona,Nápoles,0,2,8.5,5.0,1.36,Nápoles,1.36
15/16,15/16,11,Atalanta,FC Turino,0,1,2.7,3.2,2.7,FC Turino,2.7
15/16,15/16,11,Carpi FC,Chievo,1,2,3.2,3.0,2.4,Chievo,2.4
15/16,15/16,11,Fiorentina,FC Empoli,2,2,1.55,3.75,7.0,Empate,3.75
15/16,15/16,11,Génova,Sassuolo,2,1,2.15,3.3,3.5,Génova,2.15
15/16,15/16,11,Lázio,Palermo,1,1,1.4,4.5,8.5,Empate,4.5
15/16,15/16,11,Udinese,Sampdoria,1,0,2.05,3.4,3.75,Udinese,2.05
15/16,15/16,11,Inter de Milão,Frosinone,4,0,1.2,6.5,17.0,Inter de Milão,1.2
15/16,15/16,12,FC Turino,Bolonha,2,0,1.67,3.5,6.0,FC Turino,1.67
15/16,15/16,12,AC Milão,Sampdoria,4,1,1.57,4.0,6.0,AC Milão,1.57
15/16,15/16,12,AS Roma,Atalanta,0,2,1.44,4.5,7.5,Atalanta,7.5
15/16,15/16,12,Chievo,Udinese,2,3,2.25,3.1,3.5,Udinese,3.5
15/16,15/16,12,Frosinone,Verona,3,2,2.6,3.2,2.8,Frosinone,2.6
15/16,15/16,12,Génova,Carpi FC,1,2,1.57,3.8,6.5,Carpi FC,6.5
15/16,15/16,12,FC Empoli,Lázio,1,0,3.0,3.3,2.4,FC Empoli,3.0
15/16,15/16,12,Palermo,Juventus,0,3,8.0,4.0,1.5,Juventus,1.5
15/16,15/16,13,Sassuolo,Fiorentina,1,1,3.5,3.4,2.1,Empate,3.4
15/16,15/16,13,Nápoles,Inter de Milão,2,1,1.6,4.0,5.75,Nápoles,1.6
15/16,15/16,13,Lázio,Juventus,0,2,3.4,3.2,2.25,Juventus,2.25
15/16,15/16,13,FC Turino,AS Roma,1,1,2.6,3.2,2.8,Empate,3.2
15/16,15/16,13,Inter de Milão,Génova,1,0,1.6,4.0,5.5,Inter de Milão,1.6
15/16,15/16,13,Bolonha,Nápoles,3,2,8.0,4.33,1.44,Bolonha,8.0
15/16,15/16,13,Atalanta,Palermo,3,0,1.73,3.6,5.25,Atalanta,1.73
15/16,15/16,13,Fiorentina,Udinese,3,0,1.5,4.2,7.0,Fiorentina,1.5
15/16,15/16,13,Frosinone,Chievo,0,2,3.0,3.2,2.45,Chievo,2.45
15/16,15/16,13,Verona,FC Empoli,0,1,3.0,3.1,2.55,FC Empoli,2.55
15/16,15/16,13,Sampdoria,Sassuolo,1,3,2.3,3.2,3.3,Sassuolo,3.3
15/16,15/16,13,Carpi FC,AC Milão,0,0,5.5,3.5,1.73,Empate,3.5
15/16,15/16,14,Génova,Bolonha,0,1,2.0,3.3,4.0,Bolonha,4.0
15/16,15/16,14,Palermo,Frosinone,4,1,1.7,3.8,5.0,Palermo,1.7
15/16,15/16,14,Udinese,Inter de Milão,0,4,4.0,3.3,2.0,Inter de Milão,2.0
15/16,15/16,14,AC Milão,Verona,1,1,1.4,4.75,8.0,Empate,4.75
15/16,15/16,14,Chievo,Atalanta,1,0,2.4,3.1,3.2,Chievo,2.4
15/16,15/16,14,FC Empoli,Carpi FC,3,0,1.91,3.4,4.33,FC Empoli,1.91
15/16,15/16,14,Nápoles,AS Roma,0,0,1.7,3.8,5.0,Empate,3.8
15/16,15/16,14,Juventus,Fiorentina,3,1,1.73,3.4,5.5,Juventus,1.73
15/16,15/16,15,Lázio,Sampdoria,1,1,1.45,4.33,7.5,Empate,4.33
15/16,15/16,15,Bolonha,FC Empoli,2,3,2.7,3.0,2.88,FC Empoli,2.88
15/16,15/16,15,Carpi FC,Juventus,2,3,11.0,4.75,1.35,Juventus,1.35
15/16,15/16,15,AS Roma,Génova,2,0,1.5,4.2,7.0,AS Roma,1.5
15/16,15/16,15,Atalanta,Nápoles,1,3,7.0,4.2,1.5,Nápoles,1.5
15/16,15/16,15,Fiorentina,Chievo,2,0,1.45,4.2,8.0,Fiorentina,1.45
15/16,15/16,15,Verona,Sassuolo,1,1,2.7,3.2,2.7,Empate,3.2
15/16,15/16,15,FC Turino,Udinese,0,1,1.75,3.6,5.0,Udinese,5.0
15/16,15/16,15,Frosinone,AC Milão,2,4,6.5,4.0,1.55,AC Milão,1.55
15/16,15/16,15,Sampdoria,Palermo,2,0,2.2,3.25,3.4,Sampdoria,2.2
15/16,15/16,15,Inter de Milão,Lázio,1,2,2.0,3.3,4.0,Lázio,4.0
15/16,15/16,16,Génova,Sampdoria,2,3,2.35,3.0,3.4,Sampdoria,3.4
15/16,15/16,16,Udinese,Atalanta,2,1,2.05,3.25,4.0,Udinese,2.05
15/16,15/16,16,AC Milão,Bolonha,0,1,1.45,4.2,8.0,Bolonha,8.0
15/16,15/16,16,Chievo,AS Roma,3,3,2.9,3.25,2.45,Empate,3.25
15/16,15/16,16,Juventus,Verona,3,0,1.17,7.0,21.0,Juventus,1.17
15/16,15/16,16,Lázio,Carpi FC,0,0,1.45,4.5,7.5,Empate,4.5
15/16,15/16,16,Palermo,Fiorentina,1,3,5.0,3.75,1.7,Fiorentina,1.7
15/16,15/16,16,Sassuolo,Frosinone,2,2,1.4,4.5,8.5,Empate,4.5
15/16,15/16,16,FC Empoli,Inter de Milão,0,1,3.5,3.2,2.2,Inter de Milão,2.2
15/16,15/16,16,Nápoles,FC Turino,2,1,1.36,4.75,9.0,Nápoles,1.36
15/16,15/16,16,Carpi FC,Udinese,2,1,3.1,3.2,2.4,Carpi FC,3.1
15/16,15/16,16,Fiorentina,Lázio,1,3,2.0,3.4,4.0,Lázio,4.0
15/16,15/16,16,AS Roma,AC Milão,1,1,2.05,3.4,3.8,Empate,3.4
15/16,15/16,16,Inter de Milão,Sassuolo,0,1,1.65,3.8,5.75,Sassuolo,5.75
15/16,15/16,16,Atalanta,Génova,0,2,2.5,3.0,3.1,Génova,3.1
15/16,15/16,16,Bolonha,Chievo,0,1,2.45,3.1,3.1,Chievo,3.1
15/16,15/16,16,FC Turino,FC Empoli,0,1,1.91,3.3,4.5,FC Empoli,4.5
15/16,15/16,16,Frosinone,Nápoles,1,5,13.0,6.5,1.22,Nápoles,1.22
15/16,15/16,16,Verona,Palermo,0,1,2.1,3.4,3.6,Palermo,3.6
15/16,15/16,16,Sampdoria,Juventus,1,2,6.5,3.9,1.55,Juventus,1.55
15/16,15/16,17,Atalanta,Inter de Milão,1,1,4.33,3.4,1.91,Empate,3.4
15/16,15/16,17,FC Turino,Frosinone,4,2,1.3,5.5,10.0,FC Turino,1.3
15/16,15/16,17,Nápoles,Sassuolo,3,1,1.29,5.5,10.0,Nápoles,1.29
15/16,15/16,17,Génova,Palermo,4,0,1.67,3.75,5.5,Génova,1.67
15/16,15/16,17,AS Roma,Verona,1,1,1.3,5.25,11.0,Empate,5.25
15/16,15/16,17,Bolonha,Lázio,2,2,3.8,3.25,2.1,Empate,3.25
15/16,15/16,17,Carpi FC,Sampdoria,2,1,2.38,3.0,3.4,Carpi FC,2.38
15/16,15/16,17,Chievo,FC Empoli,1,1,2.3,3.0,3.5,Empate,3.0
15/16,15/16,17,Udinese,Juventus,0,4,5.5,3.4,1.75,Juventus,1.75
15/16,15/16,17,AC Milão,Fiorentina,2,0,2.4,3.2,3.2,AC Milão,2.4
15/16,15/16,18,Sassuolo,FC Turino,1,1,2.38,3.1,3.3,Empate,3.1
15/16,15/16,18,Frosinone,Atalanta,0,0,3.2,3.3,2.3,Empate,3.3
15/16,15/16,18,FC Empoli,AC Milão,2,2,3.8,3.3,2.05,Empate,3.3
15/16,15/16,18,Fiorentina,FC Turino,2,0,1.83,3.3,4.5,Fiorentina,1.83
15/16,15/16,18,Inter de Milão,Carpi FC,1,1,1.44,4.33,7.0,Empate,4.33
15/16,15/16,18,Lázio,Chievo,4,1,1.62,3.8,6.0,Lázio,1.62
15/16,15/16,18,Palermo,Udinese,4,1,2.5,3.25,2.9,Palermo,2.5
15/16,15/16,18,Sampdoria,Nápoles,2,4,6.5,4.33,1.5,Nápoles,1.5
15/16,15/16,18,Sassuolo,Bolonha,0,2,2.05,3.4,3.6,Bolonha,3.6
15/16,15/16,18,Verona,Génova,1,1,3.4,3.3,2.15,Empate,3.3
15/16,15/16,18,Juventus,AS Roma,1,0,1.53,3.8,7.5,Juventus,1.53
15/16,15/16,19,Carpi FC,Palermo,1,1,2.25,3.0,3.5,Empate,3.0
15/16,15/16,19,Atalanta,Sassuolo,1,1,2.3,3.2,3.25,Empate,3.2
15/16,15/16,19,AS Roma,Frosinone,3,1,1.22,7.0,11.0,AS Roma,1.22
15/16,15/16,19,Chievo,Juventus,0,4,9.0,4.0,1.44,Juventus,1.44
15/16,15/16,19,Bolonha,Sampdoria,3,2,2.05,3.3,3.8,Bolonha,2.05
15/16,15/16,19,FC Turino,Verona,0,0,1.62,3.75,5.5,Empate,3.75
15/16,15/16,19,Génova,Fiorentina,0,0,3.3,3.4,2.2,Empate,3.4
15/16,15/16,19,Nápoles,FC Empoli,5,1,1.25,6.0,11.0,Nápoles,1.25
15/16,15/16,19,Udinese,Lázio,0,0,3.25,3.3,2.2,Empate,3.3
15/16,15/16,19,AC Milão,Inter de Milão,3,0,2.55,2.9,3.0,AC Milão,2.55
15/16,15/16,20,Sassuolo,AS Roma,0,2,2.9,3.25,2.45,AS Roma,2.45
15/16,15/16,20,Frosinone,Bolonha,1,0,2.8,3.25,2.5,Frosinone,2.8
15/16,15/16,20,FC Empoli,Udinese,1,1,2.1,3.4,3.6,Empate,3.4
15/16,15/16,20,Fiorentina,Carpi FC,2,1,1.4,4.75,8.0,Fiorentina,1.4
15/16,15/16,20,Inter de Milão,Chievo,1,0,1.36,4.5,10.0,Inter de Milão,1.36
15/16,15/16,20,Juventus,Génova,1,0,1.3,5.25,11.0,Juventus,1.3
15/16,15/16,20,Lázio,Nápoles,0,2,3.6,3.4,2.1,Nápoles,2.1
15/16,15/16,20,Palermo,AC Milão,0,2,4.0,3.6,1.91,AC Milão,1.91
15/16,15/16,20,Sampdoria,FC Turino,2,2,3.1,3.2,2.4,Empate,3.2
15/16,15/16,20,Verona,Atalanta,2,1,2.4,3.3,3.0,Verona,2.4
15/16,15/16,20,Bolonha,Fiorentina,1,1,4.5,3.5,1.83,Empate,3.5
15/16,15/16,20,Génova,Lázio,0,0,2.5,3.2,2.9,Empate,3.2
15/16,15/16,20,Verona,Inter de Milão,3,3,4.5,3.6,1.83,Empate,3.6
15/16,15/16,20,AC Milão,Udinese,1,1,1.53,4.0,7.0,Empate,4.0
15/16,15/16,20,FC Turino,Chievo,1,2,1.62,3.75,6.0,Chievo,6.0
15/16,15/16,20,Frosinone,Juventus,0,2,15.0,6.0,1.22,Juventus,1.22
15/16,15/16,20,Nápoles,Carpi FC,1,0,1.14,8.0,21.0,Nápoles,1.14
15/16,15/16,20,Sassuolo,Palermo,2,2,1.67,3.75,5.5,Empate,3.75
15/16,15/16,20,Atalanta,FC Empoli,0,0,2.55,3.1,3.0,Empate,3.1
15/16,15/16,20,AS Roma,Sampdoria,2,1,1.5,4.2,7.0,AS Roma,1.5
15/16,15/16,21,Lázio,Verona,5,2,1.44,4.5,7.5,Lázio,1.44
15/16,15/16,21,Carpi FC,AS Roma,1,3,4.0,3.6,1.91,AS Roma,1.91
15/16,15/16,21,FC Empoli,Frosinone,1,2,1.44,4.33,8.0,Frosinone,8.0
15/16,15/16,21,Chievo,Sassuolo,1,1,3.4,3.0,2.38,Empate,3.0
15/16,15/16,21,Juventus,Nápoles,1,0,2.15,3.1,3.75,Juventus,2.15
15/16,15/16,21,AC Milão,Génova,2,1,1.6,3.75,6.5,AC Milão,1.6
15/16,15/16,21,Palermo,FC Turino,1,3,3.6,3.3,2.25,FC Turino,2.25
15/16,15/16,21,Sampdoria,Atalanta,0,0,2.1,3.4,3.5,Empate,3.4
15/16,15/16,21,Udinese,Bolonha,0,1,2.0,3.2,4.2,Bolonha,4.2
15/16,15/16,21,Fiorentina,Inter de Milão,2,1,2.05,3.25,3.9,Fiorentina,2.05
15/16,15/16,22,Bolonha,Juventus,0,0,8.0,3.6,1.55,Empate,3.6
15/16,15/16,22,Verona,Chievo,3,1,2.45,3.2,3.1,Verona,2.45
15/16,15/16,22,Inter de Milão,Sampdoria,3,1,1.5,4.2,7.0,Inter de Milão,1.5
15/16,15/16,22,Atalanta,Fiorentina,2,3,3.75,3.3,2.1,Fiorentina,2.1
15/16,15/16,22,FC Turino,Carpi FC,0,0,1.57,3.8,6.5,Empate,3.8
15/16,15/16,22,Génova,Udinese,2,1,2.05,3.2,4.0,Génova,2.05
15/16,15/16,22,Sassuolo,FC Empoli,3,2,2.1,3.25,3.75,Sassuolo,2.1
15/16,15/16,22,Frosinone,Lázio,0,0,7.0,4.1,1.5,Empate,4.1
15/16,15/16,22,AS Roma,Palermo,5,0,1.29,5.25,10.0,AS Roma,1.29
15/16,15/16,23,Nápoles,AC Milão,1,1,1.57,4.0,6.0,Empate,4.0
15/16,15/16,23,FC Empoli,AS Roma,1,3,4.0,3.2,2.0,AS Roma,2.0
15/16,15/16,23,AC Milão,FC Turino,1,0,1.83,3.5,4.5,AC Milão,1.83
15/16,15/16,23,Palermo,Bolonha,0,0,3.1,3.2,2.4,Empate,3.2
15/16,15/16,23,Carpi FC,Atalanta,1,1,2.5,3.1,3.0,Empate,3.1
15/16,15/16,23,Chievo,Génova,1,0,2.9,3.0,2.7,Chievo,2.9
15/16,15/16,23,Sampdoria,Frosinone,2,0,1.5,4.2,7.0,Sampdoria,1.5
15/16,15/16,23,Udinese,Verona,2,0,1.85,3.6,4.33,Udinese,1.85
15/16,15/16,23,Juventus,Inter de Milão,2,0,1.55,3.8,7.0,Juventus,1.55
15/16,15/16,24,Lázio,Sassuolo,0,2,1.7,3.6,5.0,Sassuolo,5.0
15/16,15/16,24,Fiorentina,Nápoles,1,1,3.4,3.4,2.15,Empate,3.4
15/16,15/16,24,AS Roma,Fiorentina,4,1,2.05,3.3,3.9,AS Roma,2.05
15/16,15/16,24,Verona,Sampdoria,0,3,2.5,3.4,2.8,Sampdoria,2.8
15/16,15/16,24,Nápoles,Chievo,3,1,1.18,7.0,17.0,Nápoles,1.18
15/16,15/16,24,FC Turino,Lázio,1,1,2.5,3.1,3.1,Empate,3.1
15/16,15/16,24,Atalanta,Juventus,0,2,9.5,4.0,1.44,Juventus,1.44
15/16,15/16,24,Bolonha,Carpi FC,0,0,2.05,3.0,4.33,Empate,3.0
15/16,15/16,24,Frosinone,Udinese,2,0,3.6,3.4,2.1,Frosinone,3.6
15/16,15/16,24,Génova,FC Empoli,1,0,2.05,3.3,3.8,Génova,2.05
15/16,15/16,24,Sassuolo,AC Milão,2,0,2.9,3.1,2.6,Sassuolo,2.9
15/16,15/16,24,Inter de Milão,Palermo,3,1,1.33,5.0,10.0,Inter de Milão,1.33
15/16,15/16,25,Juventus,Sassuolo,1,0,1.33,4.75,12.0,Juventus,1.33
15/16,15/16,25,FC Empoli,Sampdoria,1,1,2.15,3.2,3.6,Empate,3.2
15/16,15/16,25,Inter de Milão,Bolonha,2,1,1.62,3.8,6.0,Inter de Milão,1.62
15/16,15/16,25,Chievo,AC Milão,0,0,4.1,3.4,1.95,Empate,3.4
15/16,15/16,25,Carpi FC,Frosinone,2,1,1.8,3.5,4.75,Carpi FC,1.8
