temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,Malaga CF,Sevilla,0,0,3.2,3.2,2.3,,
15/16,15/16,1,Desportivo da Corunha,Real Sociedad,0,0,2.6,3.1,2.8,Empate,3.1
15/16,15/16,1,Espanhol de Barcelona,Getafe,1,0,1.83,3.4,4.5,Espanhol de Barcelona,1.83
15/16,15/16,1,Atlético Madrid,UD Las Palmas,1,0,1.22,5.75,13.0,Atlético Madrid,1.22
15/16,15/16,1,Rayo Valhecano,Valência,0,0,3.75,3.5,1.95,Empate,3.5
15/16,15/16,1,Atlético de Bilbao,Barcelona,0,1,6.5,4.5,1.44,Barcelona,1.44
15/16,15/16,1,Sporting Gijon,Real Madrid,0,0,12.0,6.0,1.22,Empate,6.0
15/16,15/16,1,Levante,Celta de Vigo,1,2,3.5,3.3,2.1,Celta de Vigo,2.1
15/16,15/16,1,Real Betis,Villarreal,1,1,2.75,3.2,2.6,Empate,3.2
15/16,15/16,2,Granada,Eibar,1,3,1.91,3.3,4.2,Eibar,4.2
15/16,15/16,4,Rayo Valhecano,Desportivo da Corunha,1,3,2.2,3.3,3.4,Desportivo da Corunha,3.4
15/16,15/16,4,Getafe,Malaga CF,1,0,2.6,3.1,2.9,Getafe,2.6
15/16,15/16,4,Real Madrid,Granada,1,0,1.06,15.0,26.0,Real Madrid,1.06
15/16,15/16,4,Valência,Real Betis,0,0,1.5,4.33,6.5,Empate,4.33
15/16,15/16,4,Eibar,Atlético Madrid,0,2,7.0,3.75,1.57,Atlético Madrid,1.57
15/16,15/16,4,Real Sociedad,Espanhol de Barcelona,2,3,2.0,3.4,4.0,Espanhol de Barcelona,4.0
15/16,15/16,4,Sevilla,Celta de Vigo,1,2,1.8,3.75,4.33,Celta de Vigo,4.33
15/16,15/16,4,Desportivo da Corunha,Sporting Gijon,2,3,2.05,3.1,4.2,Sporting Gijon,4.2
15/16,15/16,4,Villarreal,Atlético de Bilbao,3,1,2.0,3.5,3.75,Villarreal,2.0
15/16,15/16,4,Barcelona,Levante,4,1,1.06,12.0,29.0,Barcelona,1.06
15/16,15/16,4,UD Las Palmas,Rayo Valhecano,0,1,1.91,3.5,4.0,Rayo Valhecano,4.0
15/16,15/16,5,Atlético Madrid,Getafe,2,0,1.25,5.5,12.0,Atlético Madrid,1.25
15/16,15/16,5,Espanhol de Barcelona,Valência,1,0,3.4,3.3,2.15,Espanhol de Barcelona,3.4
15/16,15/16,5,Granada,Real Sociedad,0,3,2.5,3.1,2.9,Real Sociedad,2.9
15/16,15/16,5,Celta de Vigo,Barcelona,4,1,6.5,4.5,1.5,Celta de Vigo,6.5
15/16,15/16,5,Levante,Eibar,2,2,2.38,3.1,3.25,Empate,3.1
15/16,15/16,5,Rayo Valhecano,Sporting Gijon,2,1,2.2,3.4,3.3,Rayo Valhecano,2.2
15/16,15/16,5,Atlético de Bilbao,Real Madrid,1,2,4.5,4.0,1.73,Real Madrid,1.73
15/16,15/16,5,Malaga CF,Villarreal,0,1,2.8,3.3,2.6,Villarreal,2.6
15/16,15/16,5,UD Las Palmas,Sevilla,2,0,3.3,3.4,2.2,UD Las Palmas,3.3
15/16,15/16,5,Real Betis,Desportivo da Corunha,1,2,2.2,3.3,3.4,Desportivo da Corunha,3.4
15/16,15/16,5,Valência,Granada,1,0,1.45,4.5,7.5,Valência,1.45
15/16,15/16,5,Barcelona,UD Las Palmas,2,1,1.08,11.0,26.0,Barcelona,1.08
15/16,15/16,5,Real Madrid,Malaga CF,0,0,1.11,10.0,21.0,Empate,10.0
15/16,15/16,5,Sevilla,Rayo Valhecano,3,2,1.44,4.75,7.0,Sevilla,1.44
15/16,15/16,5,Villarreal,Atlético Madrid,1,0,2.9,3.1,2.6,Villarreal,2.9
15/16,15/16,5,Eibar,Celta de Vigo,1,1,3.75,3.4,2.05,Empate,3.4
15/16,15/16,5,Sporting Gijon,Real Betis,1,2,2.3,3.2,3.3,Real Betis,3.3
15/16,15/16,5,Desportivo da Corunha,Espanhol de Barcelona,3,0,2.1,3.3,3.75,Desportivo da Corunha,2.1
15/16,15/16,5,Getafe,Levante,3,0,1.95,3.3,4.2,Getafe,1.95
15/16,15/16,5,Real Sociedad,Atlético de Bilbao,0,0,2.4,3.2,3.0,Empate,3.2
15/16,15/16,6,Celta de Vigo,Getafe,0,0,1.44,4.5,7.5,Empate,4.5
15/16,15/16,6,Sevilla,Barcelona,2,1,4.0,3.6,1.91,Sevilla,4.0
15/16,15/16,6,Granada,Desportivo da Corunha,1,1,2.6,3.2,2.8,Empate,3.2
15/16,15/16,6,Espanhol de Barcelona,Sporting Gijon,1,2,2.0,3.3,4.0,,
15/16,15/16,6,UD Las Palmas,Eibar,0,2,2.1,3.3,3.75,Eibar,3.75
15/16,15/16,6,Malaga CF,Real Sociedad,3,1,2.38,3.1,3.3,Malaga CF,2.38
15/16,15/16,6,Rayo Valhecano,Real Betis,0,2,2.2,3.5,3.2,Real Betis,3.2
15/16,15/16,6,Atlético de Bilbao,Valência,3,1,2.3,3.3,3.2,Atlético de Bilbao,2.3
15/16,15/16,6,Levante,Villarreal,1,0,4.33,3.4,1.91,Levante,4.33
15/16,15/16,6,Atlético Madrid,Real Madrid,1,1,3.2,3.3,2.3,,
15/16,15/16,7,Real Madrid,Levante,3,0,1.08,12.0,23.0,Real Madrid,1.08
15/16,15/16,7,Eibar,Sevilla,1,1,3.6,3.4,2.1,Empate,3.4
15/16,15/16,7,Barcelona,Rayo Valhecano,5,2,1.14,9.0,15.0,Barcelona,1.14
15/16,15/16,7,Valência,Malaga CF,3,0,1.62,3.75,6.0,Valência,1.62
15/16,15/16,7,Real Betis,Espanhol de Barcelona,1,3,2.0,3.3,4.0,Espanhol de Barcelona,4.0
15/16,15/16,7,Villarreal,Celta de Vigo,1,2,2.0,3.5,3.8,Celta de Vigo,3.8
15/16,15/16,7,Real Sociedad,Atlético Madrid,0,2,4.0,3.2,2.05,Atlético Madrid,2.05
15/16,15/16,7,Getafe,UD Las Palmas,4,0,2.15,3.2,3.6,Getafe,2.15
15/16,15/16,7,Desportivo da Corunha,Atlético de Bilbao,2,2,2.8,3.2,2.6,Empate,3.2
15/16,15/16,8,Sporting Gijon,Granada,3,3,1.95,3.25,4.33,Empate,3.25
15/16,15/16,8,Rayo Valhecano,Espanhol de Barcelona,3,0,2.05,3.5,3.6,Rayo Valhecano,2.05
15/16,15/16,8,Celta de Vigo,Real Madrid,1,3,3.8,3.8,1.91,Real Madrid,1.91
