temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,Tondela,Sporting,1,2,13.0,5.25,1.25,Sporting,1.25
15/16,15/16,1,Belenenses SAD,Rio Ave,3,3,2.1,3.1,3.75,Empate,3.1
15/16,15/16,1,Porto,Vitória SC,3,0,1.18,6.0,19.0,Porto,1.18
15/16,15/16,1,União da Madeira,Maritimo,2,1,3.0,3.2,2.38,União da Madeira,3.0
15/16,15/16,1,Vitória FC,Boavista,2,2,2.4,3.0,3.2,Empate,3.0
15/16,15/16,1,Moreirense,Arouca,0,2,2.3,3.25,3.1,Arouca,3.1
15/16,15/16,1,Braga,Nacional,2,1,1.73,3.5,5.0,Braga,1.73
15/16,15/16,1,Benfica,Estoril Praia,4,0,1.29,5.0,11.0,Benfica,1.29
15/16,15/16,2,Paços Ferreira,Académica,1,0,1.91,3.2,4.33,Paços Ferreira,1.91
15/16,15/16,2,Rio Ave,Braga,1,0,3.0,3.2,2.38,Rio Ave,3.0
15/16,15/16,2,Sporting,Paços Ferreira,1,1,1.33,5.0,8.5,Empate,5.0
15/16,15/16,2,Maritimo,Porto,1,1,8.5,4.33,1.4,Empate,4.33
15/16,15/16,2,Boavista,Tondela,1,0,1.95,3.4,4.0,Boavista,1.95
15/16,15/16,2,Estoril Praia,Moreirense,2,0,1.7,3.5,5.25,Estoril Praia,1.7
15/16,15/16,2,Nacional,União da Madeira,1,0,1.8,3.4,4.75,Nacional,1.8
15/16,15/16,2,Vitória SC,Belenenses SAD,1,1,1.83,3.5,4.2,Empate,3.5
15/16,15/16,2,Arouca,Benfica,1,0,9.0,4.5,1.36,Arouca,9.0
15/16,15/16,3,Académica,Vitória FC,0,4,2.15,3.3,3.4,Vitória FC,3.4
15/16,15/16,6,Boavista,Paços Ferreira,0,1,3.0,3.0,2.5,Paços Ferreira,2.5
15/16,15/16,6,Vitória FC,Vitória SC,2,2,2.45,3.1,3.0,Empate,3.1
15/16,15/16,6,Tondela,Estoril Praia,0,1,2.8,3.1,2.6,Estoril Praia,2.6
15/16,15/16,6,Paços Ferreira,Rio Ave,0,3,2.0,3.2,4.0,Rio Ave,4.0
15/16,15/16,6,Académica,Boavista,0,2,2.88,3.0,2.63,Boavista,2.63
15/16,15/16,6,União da Madeira,Arouca,0,0,2.6,3.1,2.8,Empate,3.1
15/16,15/16,6,Porto,Benfica,1,0,2.0,3.2,4.0,Porto,2.0
15/16,15/16,7,Belenenses SAD,Moreirense,2,0,2.1,3.25,3.5,Belenenses SAD,2.1
15/16,15/16,7,Braga,Maritimo,5,1,1.75,3.5,4.75,Braga,1.75
15/16,15/16,7,Moreirense,Porto,2,2,15.0,5.5,1.22,Empate,5.5
15/16,15/16,7,Benfica,Paços Ferreira,3,0,1.25,5.5,13.0,Benfica,1.25
15/16,15/16,7,Boavista,Sporting,0,0,9.5,5.0,1.33,Empate,5.0
15/16,15/16,7,Maritimo,Tondela,1,0,1.73,3.6,4.75,Maritimo,1.73
15/16,15/16,7,Arouca,Belenenses SAD,2,2,2.4,3.0,3.2,Empate,3.0
15/16,15/16,7,Estoril Praia,União da Madeira,2,1,1.73,3.4,5.25,Estoril Praia,1.73
15/16,15/16,7,Vitória SC,Braga,0,1,3.5,3.0,2.25,Braga,2.25
15/16,15/16,8,Rio Ave,Académica,1,0,1.62,3.6,6.0,Rio Ave,1.62
15/16,15/16,8,Vitória FC,Estoril Praia,1,0,2.5,3.2,2.88,,
15/16,15/16,8,Paços Ferreira,Nacional,3,1,2.2,3.5,3.1,Paços Ferreira,2.2
15/16,15/16,8,Tondela,Moreirense,1,1,2.38,3.1,3.1,Empate,3.1
15/16,15/16,8,Académica,Maritimo,1,0,4.0,3.1,2.05,Académica,4.0
15/16,15/16,8,Rio Ave,Boavista,1,0,2.05,3.3,3.6,Rio Ave,2.05
15/16,15/16,8,Braga,Arouca,0,0,1.53,4.0,6.0,Empate,4.0
15/16,15/16,8,Porto,Belenenses SAD,4,0,1.14,7.0,21.0,Porto,1.14
15/16,15/16,8,Sporting,Vitória SC,5,1,1.29,5.5,10.0,,
15/16,15/16,9,Nacional,Boavista,0,0,1.91,3.25,4.33,Empate,3.25
15/16,15/16,9,Maritimo,Paços Ferreira,0,2,1.91,3.4,4.0,Paços Ferreira,4.0
15/16,15/16,9,Estoril Praia,Rio Ave,2,2,2.2,3.1,3.5,Empate,3.1
15/16,15/16,9,Vitória SC,Académica,1,1,1.7,3.6,5.0,Empate,3.6
15/16,15/16,9,Arouca,Tondela,1,1,1.95,3.1,4.33,Empate,3.1
15/16,15/16,9,Moreirense,Vitória FC,0,2,2.3,3.2,3.2,Vitória FC,3.2
15/16,15/16,9,Benfica,Sporting,0,3,2.3,3.1,3.25,Sporting,3.25
15/16,15/16,9,Porto,Braga,0,0,1.33,4.75,10.0,Empate,4.75
