temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,Lille,Paris Saint-Germain,0,1,6.5,3.6,1.57,Paris Saint-Germain,1.57
15/16,15/16,1,Bastia,Rennes,2,1,2.5,3.0,3.0,Bastia,2.5
15/16,15/16,1,Gazelec Ajaccio,Troyes AC,0,0,4.2,3.25,2.0,,
15/16,15/16,1,Montpellier,Angers,0,2,1.73,3.4,5.25,Angers,5.25
15/16,15/16,1,Nantes,EA Guingamp,1,0,2.2,3.1,3.7,Nantes,2.2
15/16,15/16,1,Nice,Mónaco,1,2,4.5,3.3,1.91,Mónaco,1.91
15/16,15/16,1,Olympique de Marselha,SM Caen,0,1,1.57,4.0,6.0,SM Caen,6.0
15/16,15/16,1,Bordéus,Reims,1,2,1.67,3.75,5.5,Reims,5.5
15/16,15/16,1,Toulouse FC,Saint-Étienne,2,1,2.63,3.1,2.88,Toulouse FC,2.63
15/16,15/16,1,Olympique de Lyon,Lorient,0,0,1.5,4.33,6.5,Empate,4.33
15/16,15/16,2,Mónaco,Lille,0,0,1.62,3.6,6.5,Empate,3.6
15/16,15/16,2,Saint-Étienne,Bordéus,1,1,2.1,3.25,3.8,Empate,3.25
15/16,15/16,2,Angers,Nantes,0,0,2.6,2.9,3.1,Empate,2.9
15/16,15/16,2,EA Guingamp,Olympique de Lyon,0,1,4.2,3.25,2.0,Olympique de Lyon,2.0
15/16,15/16,2,Rennes,Montpellier,1,0,2.15,3.0,4.0,Rennes,2.15
15/16,15/16,2,SM Caen,Toulouse FC,1,0,2.3,3.4,3.1,SM Caen,2.3
15/16,15/16,2,Troyes AC,Nice,3,3,2.0,3.2,4.2,Empate,3.2
15/16,15/16,2,Reims,Olympique de Marselha,1,0,3.4,3.3,2.2,Reims,3.4
15/16,15/16,2,Lorient,Bastia,1,1,1.85,3.4,4.6,Empate,3.4
15/16,15/16,2,Paris Saint-Germain,Gazelec Ajaccio,2,0,1.13,9.0,21.0,Paris Saint-Germain,1.13
15/16,15/16,3,Montpellier,Paris Saint-Germain,0,1,8.0,4.0,1.45,Paris Saint-Germain,1.45
15/16,15/16,3,Olympique de Lyon,Rennes,1,2,1.53,3.6,7.5,Rennes,7.5
15/16,15/16,3,Bastia,EA Guingamp,3,0,2.38,3.1,3.1,Bastia,2.38
15/16,15/16,3,Gazelec Ajaccio,Angers,0,2,2.1,3.1,3.8,Angers,3.8
15/16,15/16,3,Nantes,Reims,1,0,2.15,3.2,3.5,Nantes,2.15
15/16,15/16,3,Nice,SM Caen,2,1,2.3,3.3,3.1,Nice,2.3
15/16,15/16,3,Toulouse FC,Mónaco,1,1,3.1,3.25,2.3,Empate,3.25
15/16,15/16,3,Lille,Bordéus,0,0,2.1,3.2,3.6,Empate,3.2
15/16,15/16,3,Lorient,Saint-Étienne,0,1,2.5,3.2,2.88,Saint-Étienne,2.88
15/16,15/16,3,Olympique de Marselha,Troyes AC,6,0,1.62,3.8,5.5,Olympique de Marselha,1.62
15/16,15/16,6,Rennes,Lille,1,1,2.38,3.0,3.4,Empate,3.0
15/16,15/16,6,Reims,Paris Saint-Germain,1,1,8.0,4.75,1.4,Empate,4.75
15/16,15/16,6,Angers,Troyes AC,1,0,2.1,3.1,4.0,Angers,2.1
15/16,15/16,6,Bastia,Nice,1,3,2.25,3.1,3.5,Nice,3.5
15/16,15/16,6,EA Guingamp,Gazelec Ajaccio,2,1,1.85,3.3,4.75,EA Guingamp,1.85
15/16,15/16,6,SM Caen,Montpellier,2,1,2.15,3.1,3.75,SM Caen,2.15
15/16,15/16,6,Bordéus,Toulouse FC,1,1,2.1,3.1,4.0,Empate,3.1
15/16,15/16,6,Mónaco,Lorient,2,3,1.7,3.6,5.5,Lorient,5.5
15/16,15/16,6,Saint-Étienne,Nantes,2,0,1.67,3.5,6.0,Saint-Étienne,1.67
15/16,15/16,6,Olympique de Marselha,Olympique de Lyon,1,1,2.05,3.3,3.8,Empate,3.3
15/16,15/16,7,Gazelec Ajaccio,Rennes,1,1,3.3,3.0,2.4,Empate,3.0
15/16,15/16,7,Lorient,SM Caen,2,0,2.3,3.2,3.3,Lorient,2.3
15/16,15/16,7,Nice,Bordéus,6,1,2.88,3.0,2.6,Nice,2.88
15/16,15/16,7,Olympique de Lyon,Bastia,2,0,1.4,4.33,8.5,Olympique de Lyon,1.4
15/16,15/16,7,Troyes AC,Saint-Étienne,0,1,3.8,3.2,2.1,Saint-Étienne,2.1
15/16,15/16,7,Toulouse FC,Olympique de Marselha,1,1,3.0,3.2,2.5,Empate,3.2
15/16,15/16,7,Montpellier,Mónaco,2,3,3.4,3.1,2.3,Mónaco,2.3
15/16,15/16,7,Reims,Lille,1,0,2.7,3.1,2.8,Reims,2.7
15/16,15/16,7,Nantes,Paris Saint-Germain,1,4,10.0,4.33,1.4,Paris Saint-Germain,1.4
15/16,15/16,7,Bastia,Toulouse FC,3,0,2.88,3.1,2.63,Bastia,2.88
15/16,15/16,7,Bordéus,Olympique de Lyon,3,1,2.75,3.0,2.8,Bordéus,2.75
15/16,15/16,7,Rennes,Troyes AC,1,1,1.73,3.5,5.5,Empate,3.5
15/16,15/16,7,SM Caen,Gazelec Ajaccio,2,0,1.75,3.6,5.0,SM Caen,1.75
15/16,15/16,7,Olympique de Marselha,Angers,1,2,1.4,4.5,8.5,Angers,8.5
15/16,15/16,7,EA Guingamp,Mónaco,3,3,3.25,3.1,2.38,Empate,3.1
15/16,15/16,7,Montpellier,Lorient,2,1,2.2,3.25,3.5,Montpellier,2.2
15/16,15/16,7,Saint-Étienne,Nice,1,4,1.73,3.6,5.25,Nice,5.25
15/16,15/16,8,Lille,Nantes,0,1,1.75,3.25,5.5,Nantes,5.5
15/16,15/16,8,Lille,Montpellier,2,0,2.0,3.1,4.33,Lille,2.0
15/16,15/16,8,Olympique de Lyon,Reims,1,0,1.57,3.8,6.5,Olympique de Lyon,1.57
