temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
2015,2015,1,LA Galaxy,Chicago Fire,2,0,1.45,4.33,6.5,LA Galaxy,1.45
2015,2015,1,DC United,Montreal Impact,1,0,1.91,3.4,4.0,DC United,1.91
2015,2015,1,Philadelphia Union,Colorado Rapids,0,0,2.0,3.4,3.8,Empate,3.4
2015,2015,1,Vancouver Whitecaps,Toronto FC,1,3,2.0,3.4,3.75,Toronto FC,3.75
2015,2015,1,Dallas,São Jose Earthquakes,1,0,1.85,3.5,4.2,Dallas,1.85
2015,2015,1,Houston Dinamo,Columbus Crew,1,0,2.2,3.3,3.3,Houston Dinamo,2.2
2015,2015,1,Portland Timbers,Real Salt Lake,0,0,2.15,3.4,3.3,Empate,3.4
2015,2015,1,Seattle Sounders FC,New England Revolution,3,0,1.73,3.6,4.75,Seattle Sounders FC,1.73
2015,2015,2,Houston Dinamo,Orlando City,0,1,2.15,3.4,3.3,Orlando City,3.3
2015,2015,2,Chicago Fire,Vancouver Whitecaps,0,1,2.38,3.2,3.0,Vancouver Whitecaps,3.0
2015,2015,2,Columbus Crew,Toronto FC,2,0,2.1,3.4,3.4,Columbus Crew,2.1
2015,2015,2,Real Salt Lake,Philadelphia Union,3,3,1.83,3.6,4.2,Empate,3.6
2015,2015,2,Seattle Sounders FC,São Jose Earthquakes,2,3,1.44,4.2,7.5,São Jose Earthquakes,7.5
2015,2015,2,Portland Timbers,LA Galaxy,2,2,3.1,3.4,2.25,Empate,3.4
2015,2015,3,NY Red Bulls,DC United,2,0,1.91,3.4,4.0,NY Red Bulls,1.91
2015,2015,3,São Jose Earthquakes,Chicago Fire,2,1,1.95,3.4,3.8,São Jose Earthquakes,1.95
2015,2015,5,Orlando City,DC United,0,1,2.1,3.4,3.4,DC United,3.4
2015,2015,5,Chicago Fire,Toronto FC,3,2,2.6,3.3,2.63,Chicago Fire,2.6
2015,2015,5,Colorado Rapids,New England Revolution,0,2,2.5,3.2,2.88,New England Revolution,2.88
2015,2015,5,Seattle Sounders FC,Houston Dinamo,1,0,1.44,4.0,8.0,Seattle Sounders FC,1.44
2015,2015,5,Vancouver Whitecaps,LA Galaxy,2,0,2.9,3.4,2.38,Vancouver Whitecaps,2.9
2015,2015,5,Portland Timbers,Dallas,3,1,1.85,3.6,4.0,Portland Timbers,1.85
2015,2015,5,São Jose Earthquakes,Real Salt Lake,0,1,2.5,3.2,2.8,Real Salt Lake,2.8
2015,2015,6,Vancouver Whitecaps,Columbus Crew,2,2,2.0,3.5,3.6,Empate,3.5
2015,2015,6,Dallas,Colorado Rapids,0,4,1.62,3.75,5.5,Colorado Rapids,5.5
2015,2015,6,New England Revolution,Columbus Crew,0,0,1.91,3.4,4.0,Empate,3.4
2015,2015,6,Philadelphia Union,New York City,2,1,2.1,3.2,3.6,Philadelphia Union,2.1
2015,2015,6,DC United,NY Red Bulls,2,2,2.25,3.4,3.1,Empate,3.4
2015,2015,6,Houston Dinamo,Montreal Impact,3,0,1.91,3.3,3.5,Houston Dinamo,1.91
2015,2015,6,São Jose Earthquakes,Vancouver Whitecaps,1,0,2.5,3.4,2.7,São Jose Earthquakes,2.5
2015,2015,6,Portland Timbers,Orlando City,0,2,1.75,3.75,4.5,Orlando City,4.5
2015,2015,6,LA Galaxy,Seattle Sounders FC,1,0,1.83,3.5,4.33,LA Galaxy,1.83
2015,2015,7,New York City,Philadelphia Union,1,1,2.15,3.3,3.4,Empate,3.3
2015,2015,7,NY Red Bulls,São Jose Earthquakes,2,0,1.65,3.6,5.5,NY Red Bulls,1.65
2015,2015,7,DC United,Houston Dinamo,1,1,1.83,3.4,4.5,Empate,3.4
2015,2015,7,Columbus Crew,Orlando City,3,0,1.85,3.4,4.33,Columbus Crew,1.85
2015,2015,7,Dallas,Toronto FC,3,2,1.73,3.5,5.0,Dallas,1.73
2015,2015,7,Colorado Rapids,Seattle Sounders FC,1,3,2.25,3.4,2.63,Seattle Sounders FC,2.63
2015,2015,7,Real Salt Lake,Vancouver Whitecaps,0,1,2.0,3.4,3.75,Vancouver Whitecaps,3.75
2015,2015,7,Philadelphia Union,New England Revolution,1,2,2.2,3.25,3.3,New England Revolution,3.3
2015,2015,7,New York City,Portland Timbers,0,1,2.3,3.25,3.1,Portland Timbers,3.1
2015,2015,8,Chicago Fire,New York City,1,0,2.1,3.4,3.4,Chicago Fire,2.1
2015,2015,8,Colorado Rapids,Dallas,1,1,2.3,3.3,3.1,Empate,3.3
2015,2015,8,Columbus Crew,Philadelphia Union,4,1,1.8,3.6,4.33,Columbus Crew,1.8
2015,2015,8,New England Revolution,Real Salt Lake,4,0,1.75,3.6,4.75,New England Revolution,1.75
2015,2015,8,NY Red Bulls,LA Galaxy,1,1,2.3,3.2,3.1,Empate,3.2
2015,2015,8,Orlando City,Toronto FC,0,2,2.05,3.4,3.6,Toronto FC,3.6
2015,2015,8,Seattle Sounders FC,Portland Timbers,1,0,1.95,3.5,3.75,Seattle Sounders FC,1.95
2015,2015,9,NY Red Bulls,Colorado Rapids,1,1,1.62,3.75,5.5,Empate,3.75
2015,2015,9,Houston Dinamo,Dallas,1,4,2.5,3.3,2.75,Dallas,2.75
2015,2015,9,Real Salt Lake,São Jose Earthquakes,1,1,1.85,3.6,4.0,Empate,3.6
2015,2015,9,Philadelphia Union,Toronto FC,0,1,2.2,3.2,3.4,Toronto FC,3.4
