temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,Spartak Moscovo,Ufa,2,2,1.4,4.2,8.5,Empate,4.2
15/16,15/16,1,CSKA Moscovo,Rubin Kazan,1,0,1.55,4.0,5.75,CSKA Moscovo,1.55
15/16,15/16,1,Rostov,Akhmat Grozny,1,1,2.38,3.2,3.1,Empate,3.2
15/16,15/16,1,Zenit,Dinamo Moscovo,2,1,1.62,3.8,5.5,Zenit,1.62
15/16,15/16,1,FC Mordovia Saransk,Lokomotiv Moscovo,0,1,3.75,3.3,2.0,Lokomotiv Moscovo,2.0
15/16,15/16,1,Anzhi Makhachkala,Krylia Sovetov,0,1,1.85,3.2,4.75,Krylia Sovetov,4.75
15/16,15/16,2,Amkar Perm,Krasnodar,0,1,4.0,3.4,1.91,Krasnodar,1.91
15/16,15/16,2,Kuban Krasnodar,Ural,0,2,1.7,3.6,5.0,Ural,5.0
15/16,15/16,2,Krylia Sovetov,CSKA Moscovo,0,2,7.0,3.75,1.53,CSKA Moscovo,1.53
15/16,15/16,2,Ufa,Rostov,1,2,3.0,3.0,2.5,Rostov,2.5
15/16,15/16,2,Dinamo Moscovo,FC Mordovia Saransk,2,2,1.33,5.0,9.0,Empate,5.0
15/16,15/16,2,Akhmat Grozny,Kuban Krasnodar,1,1,1.95,3.2,4.2,Empate,3.2
15/16,15/16,2,Ural,Zenit,1,4,5.5,4.0,1.57,Zenit,1.57
15/16,15/16,2,Rubin Kazan,Amkar Perm,0,2,1.67,3.5,5.5,Amkar Perm,5.5
15/16,15/16,2,Krasnodar,Spartak Moscovo,0,1,1.91,3.6,3.75,Spartak Moscovo,3.75
15/16,15/16,3,Anzhi Makhachkala,Lokomotiv Moscovo,1,3,2.88,3.0,2.6,Lokomotiv Moscovo,2.6
15/16,15/16,3,Kuban Krasnodar,Ufa,1,1,1.91,3.1,4.5,Empate,3.1
15/16,15/16,3,Amkar Perm,Krylia Sovetov,1,0,2.05,3.1,4.0,Amkar Perm,2.05
15/16,15/16,3,Zenit,Akhmat Grozny,3,0,1.33,4.75,9.0,Zenit,1.33
15/16,15/16,3,CSKA Moscovo,Anzhi Makhachkala,1,0,1.36,4.33,9.5,CSKA Moscovo,1.36
15/16,15/16,3,Lokomotiv Moscovo,Dinamo Moscovo,1,1,2.25,3.25,3.2,Empate,3.25
15/16,15/16,3,FC Mordovia Saransk,Ural,1,1,2.75,3.1,2.63,Empate,3.1
15/16,15/16,3,Rostov,Krasnodar,0,0,3.3,3.2,2.25,Empate,3.2
15/16,15/16,4,Spartak Moscovo,Rubin Kazan,1,0,1.73,3.5,5.0,Spartak Moscovo,1.73
15/16,15/16,4,Akhmat Grozny,FC Mordovia Saransk,0,0,1.55,3.75,6.5,Empate,3.75
15/16,15/16,4,Ural,Lokomotiv Moscovo,1,3,3.2,3.0,2.45,Lokomotiv Moscovo,2.45
15/16,15/16,4,Anzhi Makhachkala,Dinamo Moscovo,2,3,3.1,3.4,2.25,Dinamo Moscovo,2.25
15/16,15/16,4,CSKA Moscovo,Amkar Perm,2,0,1.3,4.5,12.0,CSKA Moscovo,1.3
15/16,15/16,4,Ufa,Zenit,0,1,8.0,4.5,1.4,Zenit,1.4
15/16,15/16,4,Krylia Sovetov,Spartak Moscovo,0,2,4.5,3.3,1.85,Spartak Moscovo,1.85
15/16,15/16,5,Rubin Kazan,Rostov,0,3,2.05,3.3,3.6,Rostov,3.6
15/16,15/16,5,Krasnodar,Kuban Krasnodar,1,1,1.91,3.3,4.2,Empate,3.3
15/16,15/16,5,Amkar Perm,Anzhi Makhachkala,1,1,2.25,3.2,3.25,Empate,3.2
15/16,15/16,5,Spartak Moscovo,CSKA Moscovo,1,2,3.25,3.3,2.2,CSKA Moscovo,2.2
15/16,15/16,5,Zenit,Krasnodar,0,2,1.57,3.8,6.0,Krasnodar,6.0
15/16,15/16,5,Kuban Krasnodar,Rubin Kazan,0,1,2.05,3.4,3.6,Rubin Kazan,3.6
15/16,15/16,5,Lokomotiv Moscovo,Akhmat Grozny,0,0,1.67,3.75,5.0,Empate,3.75
15/16,15/16,5,Dinamo Moscovo,Ural,1,0,1.8,3.5,4.5,Dinamo Moscovo,1.8
15/16,15/16,5,Rostov,Krylia Sovetov,1,1,1.73,3.5,5.0,Empate,3.5
15/16,15/16,6,FC Mordovia Saransk,Ufa,0,1,3.2,3.0,2.38,Ufa,2.38
15/16,15/16,6,Akhmat Grozny,Dinamo Moscovo,1,1,2.5,3.3,2.75,Empate,3.3
15/16,15/16,6,Amkar Perm,Spartak Moscovo,1,3,3.5,3.4,2.05,Spartak Moscovo,2.05
15/16,15/16,6,CSKA Moscovo,Rostov,2,1,1.44,4.33,7.0,CSKA Moscovo,1.44
15/16,15/16,6,Anzhi Makhachkala,Ural,1,1,2.05,3.5,3.4,Empate,3.5
15/16,15/16,6,Ufa,Lokomotiv Moscovo,0,3,3.3,3.5,2.1,Lokomotiv Moscovo,2.1
15/16,15/16,6,Krasnodar,FC Mordovia Saransk,0,0,1.4,4.33,8.5,Empate,4.33
15/16,15/16,7,Krylia Sovetov,Kuban Krasnodar,3,0,2.75,3.3,2.5,Krylia Sovetov,2.75
15/16,15/16,7,Rubin Kazan,Zenit,1,3,4.75,3.3,1.83,Zenit,1.83
15/16,15/16,9,Ufa,Ural,0,1,2.63,3.1,2.75,Ural,2.75
15/16,15/16,9,Krylia Sovetov,FC Mordovia Saransk,1,0,2.0,3.3,3.8,Krylia Sovetov,2.0
15/16,15/16,9,Rostov,Anzhi Makhachkala,1,0,1.83,3.5,4.33,Rostov,1.83
15/16,15/16,9,Akhmat Grozny,Ufa,4,1,1.62,3.6,6.0,Akhmat Grozny,1.62
15/16,15/16,9,Kuban Krasnodar,Spartak Moscovo,3,0,3.5,3.4,2.05,Kuban Krasnodar,3.5
15/16,15/16,9,FC Mordovia Saransk,CSKA Moscovo,4,6,9.5,4.0,1.4,CSKA Moscovo,1.4
15/16,15/16,9,Zenit,Amkar Perm,1,1,1.2,6.0,15.0,,
15/16,15/16,9,Lokomotiv Moscovo,Krylia Sovetov,2,0,1.55,4.0,6.0,Lokomotiv Moscovo,1.55
15/16,15/16,10,Ural,Krasnodar,3,1,3.6,3.25,2.1,,
15/16,15/16,10,Dinamo Moscovo,Rubin Kazan,0,0,1.91,3.5,4.0,Empate,3.5
15/16,15/16,10,CSKA Moscovo,Lokomotiv Moscovo,1,1,1.8,3.4,4.75,Empate,3.4
15/16,15/16,10,Anzhi Makhachkala,Ufa,1,1,1.85,3.3,4.5,Empate,3.3
