temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,1,CA River Plate,CA Fenix,1,2,1.62,3.6,4.5,CA Fenix,4.5
15/16,15/16,1,Plaza Colónia,Club Atlético Rentistas,1,2,2.55,3.2,2.45,Club Atlético Rentistas,2.45
15/16,15/16,1,Nacional de Futebol,Villa Teresa,4,1,1.25,5.25,10.0,Nacional de Futebol,1.25
15/16,15/16,1,CA Cerro,CA Penarol,0,3,4.5,3.6,1.67,CA Penarol,1.67
15/16,15/16,1,El Tanque Sisley,Racing Clube Montevideo,2,3,2.7,3.1,2.5,Racing Clube Montevideo,2.5
15/16,15/16,1,Juventud de las Piedras,Danubio,0,2,2.88,3.3,2.25,Danubio,2.25
15/16,15/16,1,Montevideo Wanderers FC,Liverpool FC,1,1,2.2,3.2,2.88,Empate,3.2
15/16,15/16,6,Danubio,Instituição Atlética Sud-Americana,1,1,1.8,3.4,3.8,Empate,3.4
15/16,15/16,6,Liverpool FC,Defensor Sporting,2,1,3.4,3.3,1.95,Liverpool FC,3.4
15/16,15/16,6,Villa Teresa,El Tanque Sisley,0,1,2.88,3.25,2.2,El Tanque Sisley,2.2
15/16,15/16,6,CA Penarol,Racing Clube Montevideo,3,1,1.5,3.75,5.5,CA Penarol,1.5
15/16,15/16,6,Club Atlético Rentistas,CA Fenix,0,0,2.4,3.2,2.6,Empate,3.2
15/16,15/16,6,Montevideo Wanderers FC,Juventud de las Piedras,0,1,1.67,3.4,4.5,Juventud de las Piedras,4.5
15/16,15/16,7,Instituição Atlética Sud-Americana,Club Atlético Rentistas,3,3,2.2,3.25,2.88,Empate,3.25
15/16,15/16,7,Racing Clube Montevideo,Danubio,0,0,2.2,3.25,2.88,Empate,3.25
15/16,15/16,7,El Tanque Sisley,Nacional de Futebol,1,1,4.2,3.6,1.67,Empate,3.6
15/16,15/16,7,Defensor Sporting,Villa Teresa,1,1,1.4,4.0,7.0,Empate,4.0
15/16,15/16,8,Club Atlético Rentistas,Racing Clube Montevideo,0,0,2.4,3.2,2.6,Empate,3.2
15/16,15/16,8,Danubio,CA Penarol,0,1,2.5,3.2,2.5,CA Penarol,2.5
15/16,15/16,8,Villa Teresa,CA Fenix,0,2,3.1,3.2,2.1,CA Fenix,2.1
15/16,15/16,8,Juventud de las Piedras,CA River Plate,2,3,3.0,3.1,2.2,CA River Plate,2.2
15/16,15/16,8,Liverpool FC,Instituição Atlética Sud-Americana,1,0,1.83,3.3,3.8,Liverpool FC,1.83
15/16,15/16,8,Montevideo Wanderers FC,El Tanque Sisley,1,0,1.8,3.25,4.0,Montevideo Wanderers FC,1.8
15/16,15/16,8,Plaza Colónia,CA Cerro,0,1,2.7,3.1,2.4,CA Cerro,2.4
15/16,15/16,8,Nacional de Futebol,Defensor Sporting,4,0,1.75,3.4,4.0,Nacional de Futebol,1.75
15/16,15/16,9,Defensor Sporting,Montevideo Wanderers FC,2,3,2.3,3.3,2.8,Montevideo Wanderers FC,2.8
15/16,15/16,9,Instituição Atlética Sud-Americana,Villa Teresa,3,1,2.0,3.1,3.4,Instituição Atlética Sud-Americana,2.0
15/16,15/16,9,CA Fenix,Nacional de Futebol,0,2,4.6,3.6,1.62,Nacional de Futebol,1.62
15/16,15/16,9,El Tanque Sisley,Plaza Colónia,0,1,1.95,3.3,3.4,Plaza Colónia,3.4
15/16,15/16,9,Racing Clube Montevideo,Liverpool FC,3,1,2.4,3.25,2.7,Racing Clube Montevideo,2.4
15/16,15/16,9,CA Penarol,Club Atlético Rentistas,1,0,1.44,4.0,6.5,CA Penarol,1.44
15/16,15/16,10,Plaza Colónia,Defensor Sporting,0,0,2.8,3.3,2.3,Empate,3.3
15/16,15/16,10,Club Atlético Rentistas,Danubio,0,2,2.8,3.1,2.3,Danubio,2.3
15/16,15/16,10,Montevideo Wanderers FC,CA Fenix,1,1,2.0,3.25,3.3,Empate,3.25
15/16,15/16,10,Nacional de Futebol,Instituição Atlética Sud-Americana,1,2,1.33,4.5,7.0,Instituição Atlética Sud-Americana,7.0
15/16,15/16,10,Juventud de las Piedras,El Tanque Sisley,1,0,2.3,3.2,2.9,Juventud de las Piedras,2.3
15/16,15/16,10,Villa Teresa,Racing Clube Montevideo,1,2,4.33,3.25,1.8,Racing Clube Montevideo,1.8
15/16,15/16,10,Liverpool FC,CA Penarol,1,3,3.4,3.5,1.91,CA Penarol,1.91
15/16,15/16,11,CA Fenix,Plaza Colónia,0,0,1.91,3.1,3.75,Empate,3.1
15/16,15/16,11,Instituição Atlética Sud-Americana,Montevideo Wanderers FC,1,0,3.0,3.1,2.2,Instituição Atlética Sud-Americana,3.0
15/16,15/16,11,Racing Clube Montevideo,Nacional de Futebol,2,2,3.9,3.3,1.8,Empate,3.3
15/16,15/16,11,Defensor Sporting,Juventud de las Piedras,4,1,1.91,3.2,3.6,Defensor Sporting,1.91
15/16,15/16,11,CA River Plate,Club Atlético Rentistas,2,3,1.53,3.75,5.0,Club Atlético Rentistas,5.0
15/16,15/16,11,El Tanque Sisley,CA Cerro,2,3,2.88,3.1,2.25,CA Cerro,2.25
15/16,15/16,11,CA Penarol,Villa Teresa,4,1,1.17,6.0,11.0,CA Penarol,1.17
15/16,15/16,12,Plaza Colónia,Instituição Atlética Sud-Americana,1,1,2.4,3.2,2.6,Empate,3.2
15/16,15/16,12,El Tanque Sisley,CA River Plate,2,1,3.8,3.25,1.91,El Tanque Sisley,3.8
15/16,15/16,12,CA Cerro,Defensor Sporting,2,3,3.1,3.5,2.05,Defensor Sporting,2.05
15/16,15/16,12,Montevideo Wanderers FC,Racing Clube Montevideo,2,2,2.2,3.2,3.0,Empate,3.2
15/16,15/16,12,Villa Teresa,Danubio,0,1,5.25,3.75,1.57,Danubio,1.57
15/16,15/16,12,Juventud de las Piedras,CA Fenix,0,1,2.6,3.4,2.4,CA Fenix,2.4
15/16,15/16,12,Liverpool FC,Club Atlético Rentistas,0,3,2.15,3.1,3.2,Club Atlético Rentistas,3.2
15/16,15/16,12,Nacional de Futebol,CA Penarol,1,1,2.5,3.2,2.6,Empate,3.2
15/16,15/16,13,Defensor Sporting,El Tanque Sisley,2,2,1.5,4.0,5.75,Empate,4.0
15/16,15/16,13,CA River Plate,Liverpool FC,2,2,1.91,3.4,3.4,Empate,3.4
15/16,15/16,13,Club Atlético Rentistas,Villa Teresa,1,0,1.67,3.75,4.33,Club Atlético Rentistas,1.67
