temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
2016,2016,1,Zamora FC,Estudiantes de Caracas,2,1,1.4,4.5,7.5,Zamora FC,1.4
2016,2016,1,Deportivo La Guaira,Mineros De Guayana,2,1,1.67,3.4,5.0,Deportivo La Guaira,1.67
2016,2016,1,Zulia,Deportivo Tachira,1,3,2.5,3.0,2.6,Deportivo Tachira,2.6
2016,2016,1,Urena,Deportivo Zulia,2,1,1.95,3.1,4.0,Urena,1.95
2016,2016,1,Atlético Venezuela,Estudantes de Merida,2,1,1.8,3.2,4.33,Atlético Venezuela,1.8
2016,2016,1,Deportivo Petare,Carabobo,1,1,3.25,3.0,2.2,,
2016,2016,1,Monagas SC,Deportivo Anzoategui,0,2,3.0,3.0,2.35,Deportivo Anzoategui,2.35
2016,2016,1,Trujillanos,Desportivo Lara,1,0,1.85,3.3,3.8,Trujillanos,1.85
2016,2016,2,Deportivo Zulia,Monagas SC,1,0,2.2,3.0,3.25,Deportivo Zulia,2.2
2016,2016,2,Estudiantes de Caracas,Trujillanos,1,1,2.75,3.0,2.5,Empate,3.0
2016,2016,2,Llanros FC,Deportivo La Guaira,1,1,3.1,3.2,2.2,Empate,3.2
2016,2016,2,Desportivo Lara,Atlético Venezuela,3,0,1.75,3.2,4.75,Desportivo Lara,1.75
2016,2016,2,Carabobo,Portuguesa FC,0,0,1.57,3.6,5.5,Empate,3.6
2016,2016,2,Deportivo Anzoategui,Deportivo Petare,1,1,1.33,4.33,9.5,,
2016,2016,2,Estudantes de Merida,Urena,2,1,2.0,3.25,3.5,Estudantes de Merida,2.0
2016,2016,2,Deportivo Tachira,Zamora FC,1,2,1.85,3.25,4.2,Zamora FC,4.2
2016,2016,2,Caracas,Aragua,1,0,2.25,3.1,3.1,Caracas,2.25
2016,2016,2,Deportivo Tachira,Atlético Venezuela,2,1,1.33,4.5,8.0,Deportivo Tachira,1.33
2016,2016,2,Zamora FC,Trujillanos,3,1,1.65,3.6,4.75,Zamora FC,1.65
2016,2016,3,Carabobo,Deportivo Anzoategui,2,0,2.2,3.1,3.5,Carabobo,2.2
2016,2016,3,Trujillanos,Deportivo Tachira,1,0,1.8,3.4,3.75,Trujillanos,1.8
2016,2016,3,Deportivo La Guaira,Caracas,0,0,2.0,3.25,3.5,Empate,3.25
2016,2016,3,Portuguesa FC,Aragua,2,2,2.6,3.0,2.75,Empate,3.0
2016,2016,3,Urena,Desportivo Lara,0,0,2.8,3.1,2.4,Empate,3.1
2016,2016,3,Zulia,Llanros FC,0,0,1.57,3.5,5.75,Empate,3.5
2016,2016,3,Deportivo Petare,Deportivo Zulia,1,0,2.05,3.0,3.75,,
2016,2016,3,Atlético Venezuela,Estudiantes de Caracas,0,0,2.05,3.0,3.6,Empate,3.0
2016,2016,3,Monagas SC,Estudantes de Merida,4,0,2.38,2.9,2.88,Monagas SC,2.38
2016,2016,3,Zamora FC,Mineros De Guayana,3,0,1.65,3.6,4.5,Zamora FC,1.65
2016,2016,4,Deportivo Zulia,Carabobo,3,1,2.75,3.0,2.5,Deportivo Zulia,2.75
2016,2016,4,Aragua,Deportivo La Guaira,1,0,2.75,3.0,2.5,Aragua,2.75
2016,2016,4,Desportivo Lara,Monagas SC,2,0,1.6,3.5,5.5,Desportivo Lara,1.6
2016,2016,4,Caracas,Zulia,1,0,1.57,3.6,5.5,Caracas,1.57
2016,2016,4,Deportivo Anzoategui,Portuguesa FC,1,0,1.5,3.75,6.25,Deportivo Anzoategui,1.5
2016,2016,4,Estudantes de Merida,Deportivo Petare,1,0,2.1,3.0,3.5,,
2016,2016,4,Mineros De Guayana,Trujillanos,2,3,1.85,3.3,4.0,Trujillanos,4.0
2016,2016,4,Estudiantes de Caracas,Urena,1,3,1.85,3.2,4.2,Urena,4.2
2016,2016,4,Portuguesa FC,Deportivo La Guaira,1,1,3.3,3.2,2.1,Empate,3.2
2016,2016,4,Deportivo Anzoategui,Deportivo Zulia,1,0,1.44,4.2,5.5,Deportivo Anzoategui,1.44
2016,2016,4,Urena,Deportivo Tachira,0,2,3.6,3.2,2.0,Deportivo Tachira,2.0
2016,2016,4,Zulia,Aragua,2,1,2.1,3.0,3.5,Zulia,2.1
2016,2016,4,Atlético Venezuela,Mineros De Guayana,1,1,2.15,3.0,3.4,Empate,3.0
2016,2016,4,Deportivo Petare,Desportivo Lara,0,0,2.38,3.0,2.9,,
2016,2016,4,Monagas SC,Estudiantes de Caracas,0,0,2.05,3.2,3.4,Empate,3.2
2016,2016,4,Trujillanos,Llanros FC,3,0,1.5,3.6,6.5,Trujillanos,1.5
2016,2016,4,Carabobo,Estudantes de Merida,2,1,1.53,3.6,6.0,Carabobo,1.53
2016,2016,4,Zamora FC,Caracas,1,1,1.67,3.6,5.25,Empate,3.6
2016,2016,5,Aragua,Zamora FC,2,2,2.6,3.2,2.5,Empate,3.2
2016,2016,5,Desportivo Lara,Carabobo,3,2,1.95,3.4,3.5,Desportivo Lara,1.95
2016,2016,5,Deportivo Zulia,Portuguesa FC,0,0,2.0,3.3,3.4,Empate,3.3
2016,2016,5,Llanros FC,Atlético Venezuela,0,3,1.83,3.25,4.2,Atlético Venezuela,4.2
2016,2016,5,Deportivo Tachira,Monagas SC,3,0,1.5,4.0,6.0,Deportivo Tachira,1.5
2016,2016,5,Estudantes de Merida,Deportivo Anzoategui,1,2,2.63,3.2,2.5,Deportivo Anzoategui,2.5
2016,2016,5,Estudiantes de Caracas,Deportivo Petare,2,2,2.15,3.1,3.2,,
2016,2016,5,Mineros De Guayana,Urena,4,3,1.36,4.2,8.0,Mineros De Guayana,1.36
2016,2016,5,Deportivo La Guaira,Zulia,3,2,1.65,3.6,4.75,Deportivo La Guaira,1.65
2016,2016,6,Atlético Venezuela,Caracas,0,0,4.0,3.25,1.8,Empate,3.25
2016,2016,6,Deportivo Zulia,Estudantes de Merida,1,2,2.0,3.0,3.5,Estudantes de Merida,3.5
2016,2016,6,Monagas SC,Mineros De Guayana,1,3,2.5,3.0,2.63,Mineros De Guayana,2.63
2016,2016,6,Carabobo,Estudiantes de Caracas,3,0,1.57,3.5,5.25,Carabobo,1.57
2016,2016,6,Deportivo Anzoategui,Desportivo Lara,2,1,1.73,3.4,4.5,Deportivo Anzoategui,1.73
2016,2016,6,Urena,Llanros FC,0,0,2.1,3.1,3.2,Empate,3.1
2016,2016,6,Zamora FC,Deportivo La Guaira,2,0,1.8,3.4,3.75,Zamora FC,1.8
2016,2016,6,Portuguesa FC,Zulia,1,2,2.15,3.0,3.4,Zulia,3.4
2016,2016,6,Deportivo Petare,Deportivo Tachira,0,1,6.5,3.75,1.44,,
2016,2016,6,Aragua,Atlético Venezuela,3,3,1.62,3.5,5.25,Empate,3.5
2016,2016,6,Deportivo La Guaira,Trujillanos,2,0,1.67,3.5,4.75,Deportivo La Guaira,1.67
2016,2016,6,Zulia,Zamora FC,1,0,3.0,3.1,2.3,Zulia,3.0
2016,2016,6,Estudantes de Merida,Portuguesa FC,1,2,2.05,3.1,3.5,Portuguesa FC,3.5
2016,2016,6,Estudiantes de Caracas,Deportivo Anzoategui,2,3,2.63,3.0,2.6,Deportivo Anzoategui,2.6
2016,2016,6,Llanros FC,Monagas SC,0,1,1.8,3.25,4.0,Monagas SC,4.0
2016,2016,6,Desportivo Lara,Deportivo Zulia,2,1,1.62,3.5,5.25,Desportivo Lara,1.62
2016,2016,6,Mineros De Guayana,Deportivo Petare,6,1,1.62,3.6,5.0,,
2016,2016,6,Deportivo Tachira,Carabobo,1,1,1.8,3.2,4.33,Empate,3.2
2016,2016,6,Caracas,Urena,2,1,1.36,4.2,8.0,Caracas,1.36
2016,2016,7,Caracas,Trujillanos,1,1,2.1,3.2,3.3,Empate,3.2
2016,2016,7,Portuguesa FC,Zamora FC,1,2,3.5,3.1,2.05,Zamora FC,2.05
2016,2016,7,Deportivo Petare,Llanros FC,1,0,2.3,3.1,3.3,,
2016,2016,7,Deportivo Anzoategui,Deportivo Tachira,1,1,2.05,3.1,3.5,Empate,3.1
